Ref,x,y,Connectivity,Point First Moment,Point Second Moment
196670,0.7600000,7.2800000,93.0000000,20.4259338,5.5376000
196671,0.7600000,7.3200000,109.0000000,24.6398697,6.7328000
196672,0.7600000,7.3600000,104.0000000,22.7564487,6.0720000
196673,0.7600000,7.4000000,101.0000000,21.3361053,5.5520000
196674,0.7600000,7.4400000,101.0000000,21.4556656,5.6431999
196675,0.7600000,7.4800000,102.0000000,22.4637623,6.1328001
196676,0.7600000,7.5200000,108.0000000,24.5249138,6.9071999
196677,0.7600000,7.5600000,89.0000000,20.5521145,6.0367999
196678,0.7600000,7.6000000,120.0000000,41.9446831,23.1119995
196679,0.7600000,7.6400000,123.0000000,48.5171623,30.8544006
196680,0.7600000,7.6800000,126.0000000,54.0982933,36.6287994
196681,0.7600000,7.7200000,123.0000000,52.3327522,34.1856003
196682,0.7600000,7.7600000,105.0000000,38.4265862,20.7423992
262200,0.8000000,7.0400000,102.0000000,29.1372280,11.4063997
262201,0.8000000,7.0800000,110.0000000,33.3114891,15.5615997
262202,0.8000000,7.1200000,146.0000000,66.7084045,51.4784012
262203,0.8000000,7.1600000,141.0000000,62.4775391,47.9599991
262204,0.8000000,7.2000000,109.0000000,31.9024334,15.9952002
262205,0.8000000,7.2400000,86.0000000,19.3041801,5.7951999
262207,0.8000000,7.3200000,86.0000000,18.2539387,4.7839999
262208,0.8000000,7.3600000,95.0000000,18.9480629,4.6799998
262209,0.8000000,7.4000000,100.0000000,19.7522449,4.8271999
262210,0.8000000,7.4400000,99.0000000,19.6936226,4.8992000
262211,0.8000000,7.4800000,97.0000000,19.8215542,5.0976000
262212,0.8000000,7.5200000,84.0000000,18.7215157,5.2048001
262214,0.8000000,7.6000000,91.0000000,28.8884163,15.7440004
262215,0.8000000,7.6400000,106.0000000,38.8022957,24.6928005
262216,0.8000000,7.6800000,121.0000000,48.8522110,32.1952019
262217,0.8000000,7.7200000,117.0000000,45.9112968,28.6560001
262218,0.8000000,7.7600000,101.0000000,32.7952080,15.5679998
327736,0.8400000,7.0400000,92.0000000,22.0030060,6.9120002
327737,0.8400000,7.0800000,94.0000000,22.6831017,8.4639997
327738,0.8400000,7.1200000,137.0000000,60.2109718,46.2575989
327739,0.8400000,7.1600000,128.0000000,54.6571770,41.9855995
327740,0.8400000,7.2000000,95.0000000,25.3671494,12.0607996
327741,0.8400000,7.2400000,81.0000000,17.4336147,4.9295998
327743,0.8400000,7.3200000,81.0000000,16.4595871,4.0864000
327744,0.8400000,7.3600000,83.0000000,14.9294004,3.3248000
327745,0.8400000,7.4000000,83.0000000,14.0465975,2.9375999
327746,0.8400000,7.4400000,85.0000000,14.6264515,3.1312001
327747,0.8400000,7.4800000,82.0000000,15.3060837,3.6256001
327748,0.8400000,7.5200000,82.0000000,17.1556931,4.4944000
327750,0.8400000,7.6000000,82.0000000,23.9399414,12.0352001
327751,0.8400000,7.6400000,94.0000000,33.6404114,21.4272003
327752,0.8400000,7.6800000,109.0000000,42.1319275,27.8320007
327753,0.8400000,7.7200000,105.0000000,37.9231567,22.9295998
327754,0.8400000,7.7600000,85.0000000,21.7674103,8.0607996
393257,0.8800000,6.4400000,42.0000000,8.7469444,2.3471999
393258,0.8800000,6.4800000,60.0000000,21.7507591,13.0719995
393259,0.8800000,6.5200000,52.0000000,14.9679871,8.0271997
393260,0.8800000,6.5600000,38.0000000,5.7865510,1.1824000
393261,0.8800000,6.6000000,36.0000000,5.3777180,0.9904000
393262,0.8800000,6.6400000,32.0000000,5.0924959,0.9552000
393264,0.8800000,6.7200000,19.0000000,2.6990466,0.5040000
393265,0.8800000,6.7600000,23.0000000,3.3436391,0.6384000
393266,0.8800000,6.8000000,41.0000000,15.7487440,11.2159996
393272,0.8800000,7.0400000,87.0000000,19.0723839,5.4000001
393273,0.8800000,7.0800000,89.0000000,19.2782173,6.4335999
393274,0.8800000,7.1200000,133.0000000,56.9647331,42.8208008
393275,0.8800000,7.1600000,126.0000000,51.6090889,38.2848015
393276,0.8800000,7.2000000,91.0000000,22.2626438,9.2992001
393277,0.8800000,7.2400000,82.0000000,17.0502262,4.5455999
393279,0.8800000,7.3200000,78.0000000,15.0382195,3.5200000
393280,0.8800000,7.3600000,76.0000000,12.6572008,2.5504000
393281,0.8800000,7.4000000,77.0000000,11.7855101,2.1296000
393282,0.8800000,7.4400000,74.0000000,11.1383705,1.9904000
393283,0.8800000,7.4800000,76.0000000,12.6572008,2.5504000
393284,0.8800000,7.5200000,79.0000000,15.3428507,3.6127999
393286,0.8800000,7.6000000,77.0000000,19.3428841,7.9136000
393287,0.8800000,7.6400000,95.0000000,33.1319084,20.5200005
393288,0.8800000,7.6800000,104.0000000,38.8824501,24.9375992
393289,0.8800000,7.7200000,100.0000000,34.0742531,19.8127995
393290,0.8800000,7.7600000,80.0000000,17.9953346,5.3839998
458760,0.9200000,5.1200000,165.0000000,66.9336700,33.5135994
458761,0.9200000,5.1600000,183.0000000,85.8209152,58.8688011
458762,0.9200000,5.2000000,188.0000000,92.1593781,70.9456024
458763,0.9200000,5.2400000,176.0000000,77.4183884,53.9903984
458764,0.9200000,5.2800000,162.0000000,58.9534798,29.9216003
458765,0.9200000,5.3200000,158.0000000,54.2715759,24.6511993
458766,0.9200000,5.3600000,154.0000000,52.5464020,23.4447994
458767,0.9200000,5.4000000,148.0000000,49.6787605,20.8703995
458768,0.9200000,5.4400000,148.0000000,51.9602013,22.4608002
458769,0.9200000,5.4800000,146.0000000,53.0622559,22.8208008
458793,0.9200000,6.4400000,39.0000000,6.8312845,1.5760000
458794,0.9200000,6.4800000,63.0000000,21.0493755,11.9183998
458795,0.9200000,6.5200000,61.0000000,18.9749756,10.8655996
458796,0.9200000,6.5600000,43.0000000,6.1693482,1.2431999
458797,0.9200000,6.6000000,39.0000000,5.2229948,0.8784000
458798,0.9200000,6.6400000,34.0000000,4.7101130,0.7840000
458800,0.9200000,6.7200000,23.0000000,2.7589223,0.4432000
458801,0.9200000,6.7600000,26.0000000,3.3965585,0.6016000
458802,0.9200000,6.8000000,50.0000000,20.4024792,15.1504002
458808,0.9200000,7.0400000,86.0000000,18.3485146,4.9503999
458809,0.9200000,7.0800000,85.0000000,16.3442230,4.1072001
458810,0.9200000,7.1200000,132.0000000,54.4089394,39.2144012
458811,0.9200000,7.1600000,124.0000000,49.0529518,35.0032005
458812,0.9200000,7.2000000,87.0000000,18.2523060,5.7312002
458813,0.9200000,7.2400000,82.0000000,16.7027321,4.2672000
458815,0.9200000,7.3200000,75.0000000,13.8185186,3.0064001
458816,0.9200000,7.3600000,74.0000000,11.9611607,2.2960000
458817,0.9200000,7.4000000,71.0000000,10.3381519,1.7664000
458818,0.9200000,7.4400000,74.0000000,11.1866808,2.0128000
458819,0.9200000,7.4800000,75.0000000,12.3611612,2.4560001
458820,0.9200000,7.5200000,75.0000000,13.7958775,2.9888000
458822,0.9200000,7.6000000,73.0000000,15.4582539,4.5840001
458823,0.9200000,7.6400000,96.0000000,32.2695084,18.8831997
458824,0.9200000,7.6800000,106.0000000,38.3980751,23.4496002
458825,0.9200000,7.7200000,96.0000000,30.7197495,16.9055996
458826,0.9200000,7.7600000,77.0000000,16.5285740,4.6464000
524296,0.9600000,5.1200000,170.0000000,65.6116180,31.6863995
524297,0.9600000,5.1600000,185.0000000,80.5673828,52.2607994
524298,0.9600000,5.2000000,190.0000000,87.5149078,65.3423996
524299,0.9600000,5.2400000,178.0000000,72.8793106,49.1391983
524300,0.9600000,5.2800000,165.0000000,55.5633621,27.1072006
524301,0.9600000,5.3200000,158.0000000,49.3802567,21.0223999
524302,0.9600000,5.3600000,154.0000000,47.3840446,19.4671993
524303,0.9600000,5.4000000,154.0000000,49.0891304,20.5167999
524304,0.9600000,5.4400000,147.0000000,46.7574081,18.3887997
524305,0.9600000,5.4800000,147.0000000,49.9044991,20.4480000
524329,0.9600000,6.4400000,39.0000000,6.4416518,1.3728000
524330,0.9600000,6.4800000,46.0000000,7.9989877,2.0544000
524331,0.9600000,6.5200000,66.0000000,20.5543156,11.4751997
524332,0.9600000,6.5600000,45.0000000,6.0541601,1.1280000
524333,0.9600000,6.6000000,43.0000000,5.1857195,0.7504000
524334,0.9600000,6.6400000,41.0000000,5.1097188,0.7520000
524335,0.9600000,6.6800000,41.0000000,5.6790199,0.9440000
524336,0.9600000,6.7200000,37.0000000,5.1659374,0.9344000
524337,0.9600000,6.7600000,36.0000000,5.5656357,1.1727999
524338,0.9600000,6.8000000,62.0000000,24.9473591,17.5664005
524344,0.9600000,7.0400000,83.0000000,17.3540115,4.5071998
524345,0.9600000,7.0800000,85.0000000,16.4455376,4.0672002
524346,0.9600000,7.1200000,132.0000000,53.1352806,36.6864014
524347,0.9600000,7.1600000,125.0000000,48.6475601,33.3264008
524348,0.9600000,7.2000000,84.0000000,16.0555878,3.9375999
524349,0.9600000,7.2400000,81.0000000,16.3335056,4.0256000
524351,0.9600000,7.3200000,74.0000000,13.8934011,3.1024001
524352,0.9600000,7.3600000,71.0000000,11.4751635,2.2272000
524353,0.9600000,7.4000000,71.0000000,10.7989044,1.9967999
524354,0.9600000,7.4400000,71.0000000,10.7989044,1.9967999
524355,0.9600000,7.4800000,74.0000000,12.4933977,2.5792000
524356,0.9600000,7.5200000,74.0000000,13.8934011,3.1024001
524358,0.9600000,7.6000000,71.0000000,14.1121407,3.5360000
524359,0.9600000,7.6400000,98.0000000,32.9974174,18.6271992
524360,0.9600000,7.6800000,107.0000000,37.7448578,21.9120007
524361,0.9600000,7.7200000,96.0000000,29.7681789,15.5696001
524362,0.9600000,7.7600000,73.0000000,14.9580812,3.9247999
589832,1.0000000,5.1200000,174.0000000,65.3240280,31.7024002
589833,1.0000000,5.1600000,191.0000000,80.1420517,50.9823990
589834,1.0000000,5.2000000,196.0000000,86.5400696,63.2831993
589835,1.0000000,5.2400000,185.0000000,71.8886948,46.6543999
589836,1.0000000,5.2800000,168.0000000,52.2318573,23.8784008
589837,1.0000000,5.3200000,162.0000000,46.6492882,18.4703999
589838,1.0000000,5.3600000,155.0000000,43.2968102,16.1327991
589839,1.0000000,5.4000000,152.0000000,43.6317558,16.4608002
589840,1.0000000,5.4400000,147.0000000,43.1777153,15.8464003
589841,1.0000000,5.4800000,146.0000000,45.8798561,17.5200005
589843,1.0000000,5.5600000,212.0000000,107.2599182,67.7648010
589844,1.0000000,5.6000000,216.0000000,101.9960632,61.4031982
589845,1.0000000,5.6400000,220.0000000,100.2171478,60.7136002
589846,1.0000000,5.6800000,230.0000000,100.3804321,58.6272011
589847,1.0000000,5.7200000,241.0000000,106.3751068,65.3056030
589848,1.0000000,5.7600000,241.0000000,99.9007034,55.5695992
589849,1.0000000,5.8000000,252.0000000,105.7174759,60.6416016
589850,1.0000000,5.8400000,256.0000000,105.9182510,59.2095985
589851,1.0000000,5.8800000,264.0000000,109.8617706,61.6832008
589852,1.0000000,5.9200000,281.0000000,125.5236816,78.7872009
589853,1.0000000,5.9600000,414.0000000,484.1006775,1121.3039551
589854,1.0000000,6.0000000,427.0000000,514.8967285,1218.8016357
589855,1.0000000,6.0400000,253.0000000,99.3491287,51.1791992
589856,1.0000000,6.0800000,240.0000000,90.8166580,44.7327995
589857,1.0000000,6.1200000,233.0000000,88.3086319,43.9119987
589858,1.0000000,6.1600000,229.0000000,89.7187271,47.0239983
589859,1.0000000,6.2000000,225.0000000,91.7038803,50.4160004
589860,1.0000000,6.2400000,224.0000000,95.5263138,54.9231987
589861,1.0000000,6.2800000,222.0000000,99.4567490,59.5471992
589862,1.0000000,6.3200000,221.0000000,105.1375427,66.4095993
589863,1.0000000,6.3600000,218.0000000,109.7650909,72.2015991
589864,1.0000000,6.4000000,218.0000000,116.7984238,80.2832031
589865,1.0000000,6.4400000,38.0000000,6.3326063,1.3472000
589866,1.0000000,6.4800000,39.0000000,5.4957714,1.0080000
589867,1.0000000,6.5200000,68.0000000,19.6544952,9.8448000
589868,1.0000000,6.5600000,47.0000000,6.4240294,1.1440001
589869,1.0000000,6.6000000,42.0000000,5.0604815,0.7200000
589870,1.0000000,6.6400000,43.0000000,5.5340395,0.8336000
589871,1.0000000,6.6800000,41.0000000,5.8814182,1.0048000
589872,1.0000000,6.7200000,39.0000000,5.7991133,1.1120000
589873,1.0000000,6.7600000,38.0000000,6.1722555,1.3552001
589874,1.0000000,6.8000000,69.0000000,27.1443748,17.5919991
589880,1.0000000,7.0400000,83.0000000,17.9909916,4.8112001
589881,1.0000000,7.0800000,85.0000000,16.9669609,4.2816000
589882,1.0000000,7.1200000,131.0000000,51.4057388,33.8176003
589883,1.0000000,7.1600000,127.0000000,48.6638985,31.7663994
589884,1.0000000,7.2000000,84.0000000,16.4447937,4.0560002
589885,1.0000000,7.2400000,77.0000000,15.4833803,3.7423999
589887,1.0000000,7.3200000,71.0000000,13.6500235,3.1487999
589888,1.0000000,7.3600000,71.0000000,12.3745155,2.6880000
589889,1.0000000,7.4000000,71.0000000,11.7177229,2.4576001
589890,1.0000000,7.4400000,71.0000000,11.7177229,2.4576001
589891,1.0000000,7.4800000,71.0000000,12.3745155,2.6880000
589892,1.0000000,7.5200000,74.0000000,14.8379631,3.6256001
589894,1.0000000,7.6000000,72.0000000,14.6693287,3.6896000
589895,1.0000000,7.6400000,99.0000000,33.0700951,17.8799992
589896,1.0000000,7.6800000,109.0000000,37.3717003,20.3248005
589897,1.0000000,7.7200000,92.0000000,25.6531658,11.3760004
589898,1.0000000,7.7600000,76.0000000,16.4391003,4.4688001
655368,1.0400000,5.1200000,185.0000000,70.7077026,36.0688019
655369,1.0400000,5.1600000,200.0000000,82.9918365,52.3008003
655370,1.0400000,5.2000000,203.0000000,87.0455399,61.8912010
655371,1.0400000,5.2400000,191.0000000,71.5263062,45.0223999
655372,1.0400000,5.2800000,174.0000000,50.2862625,20.8176003
655373,1.0400000,5.3200000,163.0000000,43.1581650,15.6176004
655374,1.0400000,5.3600000,158.0000000,40.1312599,13.1983995
655375,1.0400000,5.4000000,154.0000000,40.5215759,13.8095999
655376,1.0400000,5.4400000,149.0000000,40.6522102,13.8448000
655377,1.0400000,5.4800000,149.0000000,45.1823540,16.9391994
655379,1.0400000,5.5600000,213.0000000,104.1154327,64.8560028
655380,1.0400000,5.6000000,219.0000000,99.4784012,58.4959984
655381,1.0400000,5.6400000,228.0000000,97.9769058,54.9039993
655382,1.0400000,5.6800000,238.0000000,99.3958588,54.0688019
655383,1.0400000,5.7200000,244.0000000,98.3625946,51.8047981
655384,1.0400000,5.7600000,243.0000000,94.4150543,48.2144012
655385,1.0400000,5.8000000,249.0000000,96.0817795,49.9199982
655386,1.0400000,5.8400000,251.0000000,94.5820770,47.8832016
655387,1.0400000,5.8800000,263.0000000,103.2700424,56.9696007
655388,1.0400000,5.9200000,278.0000000,114.5405655,66.8048019
655389,1.0400000,5.9600000,422.0000000,479.3186951,1093.4527588
655390,1.0400000,6.0000000,435.0000000,512.5600586,1198.8095703
655391,1.0400000,6.0400000,260.0000000,99.8061218,52.1952019
655392,1.0400000,6.0800000,245.0000000,89.7547989,44.1744003
655393,1.0400000,6.1200000,237.0000000,86.9033356,43.2991982
655394,1.0400000,6.1600000,230.0000000,85.2147064,43.1871986
655395,1.0400000,6.2000000,226.0000000,87.2082901,46.6496010
655396,1.0400000,6.2400000,224.0000000,91.4798355,51.8720016
655397,1.0400000,6.2800000,224.0000000,97.7375183,59.1136017
655398,1.0400000,6.3200000,221.0000000,102.0547562,64.4207993
655399,1.0400000,6.3600000,222.0000000,110.0654755,73.5232010
655400,1.0400000,6.4000000,220.0000000,115.9912109,80.2511978
655401,1.0400000,6.4400000,36.0000000,6.2744389,1.3408000
655402,1.0400000,6.4800000,36.0000000,5.3756485,1.0064000
655403,1.0400000,6.5200000,65.0000000,18.3667545,8.4927998
655404,1.0400000,6.5600000,57.0000000,14.7432880,7.4591999
655405,1.0400000,6.6000000,37.0000000,5.0503135,0.8128000
655406,1.0400000,6.6400000,31.0000000,4.4612322,0.7440000
655408,1.0400000,6.7200000,18.0000000,2.0062213,0.2608000
655409,1.0400000,6.7600000,29.0000000,4.2443638,0.8352000
655410,1.0400000,6.8000000,62.0000000,22.1229649,12.3727999
655416,1.0400000,7.0400000,78.0000000,17.3152905,4.7168002
655417,1.0400000,7.0800000,82.0000000,16.9223576,4.3968000
655418,1.0400000,7.1200000,134.0000000,51.7032623,32.1136017
655419,1.0400000,7.1600000,129.0000000,48.8974876,30.3279991
655420,1.0400000,7.2000000,83.0000000,17.0006409,4.3712001
655421,1.0400000,7.2400000,78.0000000,17.0089378,4.5071998
655423,1.0400000,7.3200000,71.0000000,14.9326162,3.8399999
655424,1.0400000,7.3600000,71.0000000,13.7142467,3.3792000
655425,1.0400000,7.4000000,71.0000000,13.0880585,3.1487999
655426,1.0400000,7.4400000,71.0000000,13.0880585,3.1487999
655427,1.0400000,7.4800000,71.0000000,13.7142467,3.3792000
655428,1.0400000,7.5200000,72.0000000,15.3013983,3.9760001
655430,1.0400000,7.6000000,69.0000000,14.3679533,3.6784000
655431,1.0400000,7.6400000,101.0000000,33.7109756,17.3488007
655432,1.0400000,7.6800000,111.0000000,38.1650238,19.9936008
655433,1.0400000,7.7200000,89.0000000,23.1070518,8.8240004
655434,1.0400000,7.7600000,74.0000000,16.5678062,4.6016002
720904,1.0800000,5.1200000,201.0000000,85.2651062,52.6576004
720905,1.0800000,5.1600000,219.0000000,96.5032349,64.7503967
720906,1.0800000,5.2000000,221.0000000,97.3118286,68.9888000
720907,1.0800000,5.2400000,208.0000000,80.3838654,50.9007988
720908,1.0800000,5.2800000,186.0000000,54.4917564,22.5599995
720909,1.0800000,5.3200000,175.0000000,46.6118431,17.1023998
720910,1.0800000,5.3600000,170.0000000,43.3068657,14.6224003
720911,1.0800000,5.4000000,157.0000000,38.0372581,11.4527998
720912,1.0800000,5.4400000,154.0000000,40.5310402,13.4224005
720913,1.0800000,5.4800000,151.0000000,44.1179466,15.9407997
720915,1.0800000,5.5600000,217.0000000,103.5785904,64.1936035
720916,1.0800000,5.6000000,233.0000000,103.6490936,60.2896004
720917,1.0800000,5.6400000,249.0000000,107.5741119,60.6272011
720918,1.0800000,5.6800000,250.0000000,102.8907242,55.9728012
720919,1.0800000,5.7200000,247.0000000,96.6816177,50.2416000
720920,1.0800000,5.7600000,246.0000000,91.1962662,44.8128014
720921,1.0800000,5.8000000,239.0000000,83.1742096,38.0079994
720922,1.0800000,5.8400000,246.0000000,84.5073318,37.8191986
720923,1.0800000,5.8800000,255.0000000,88.8899841,40.5887985
720924,1.0800000,5.9200000,271.0000000,100.6462250,50.7807999
720925,1.0800000,5.9600000,420.0000000,464.3210449,1053.4783936
720926,1.0800000,6.0000000,438.0000000,502.4375000,1162.8032227
720927,1.0800000,6.0400000,262.0000000,97.8003998,51.7584000
720928,1.0800000,6.0800000,249.0000000,89.9233322,45.8800011
720929,1.0800000,6.1200000,244.0000000,89.6653290,46.9440002
720930,1.0800000,6.1600000,240.0000000,90.5019760,48.5568008
720931,1.0800000,6.2000000,236.0000000,90.6807404,49.0624008
720932,1.0800000,6.2400000,229.0000000,91.1690598,51.4592018
720933,1.0800000,6.2800000,223.0000000,92.6864700,54.4480019
720934,1.0800000,6.3200000,222.0000000,99.4098816,61.9920006
720935,1.0800000,6.3600000,221.0000000,106.1081619,69.4720001
720936,1.0800000,6.4000000,220.0000000,113.4508133,77.6864014
720940,1.0800000,6.5600000,71.0000000,20.9650860,9.7296000
720946,1.0800000,6.8000000,58.0000000,19.0219421,9.3984003
720952,1.0800000,7.0400000,75.0000000,17.7613010,5.1423998
720953,1.0800000,7.0800000,81.0000000,18.3318729,5.2160001
720954,1.0800000,7.1200000,139.0000000,52.7252426,30.7488003
720955,1.0800000,7.1600000,133.0000000,49.9852791,29.2656002
720956,1.0800000,7.2000000,79.0000000,17.3495197,4.7792001
720957,1.0800000,7.2400000,73.0000000,17.0174255,4.8480000
720959,1.0800000,7.3200000,71.0000000,16.6170788,4.7616000
720960,1.0800000,7.3600000,71.0000000,15.4794531,4.3007998
720961,1.0800000,7.4000000,71.0000000,14.8961229,4.0704002
720962,1.0800000,7.4400000,71.0000000,14.8961229,4.0704002
720963,1.0800000,7.4800000,71.0000000,15.4794531,4.3007998
720964,1.0800000,7.5200000,71.0000000,16.6170788,4.7616000
720966,1.0800000,7.6000000,64.0000000,14.0938854,3.8624001
720967,1.0800000,7.6400000,104.0000000,34.6444931,16.9248009
720968,1.0800000,7.6800000,117.0000000,39.7387352,19.6495991
720969,1.0800000,7.7200000,81.0000000,18.1802654,5.0896001
720970,1.0800000,7.7600000,71.0000000,17.0739632,5.1023998
786440,1.1200000,5.1200000,222.0000000,105.2449417,74.9504013
786441,1.1200000,5.1600000,240.0000000,115.8222656,85.5215988
786442,1.1200000,5.2000000,253.0000000,123.4801483,94.0192032
786443,1.1200000,5.2400000,241.0000000,108.0734940,77.2704010
786444,1.1200000,5.2800000,224.0000000,83.0202484,47.5968018
786445,1.1200000,5.3200000,215.0000000,73.5950928,38.5727997
786446,1.1200000,5.3600000,203.0000000,62.6948395,28.4528008
786447,1.1200000,5.4000000,186.0000000,50.1517067,17.6096001
786448,1.1200000,5.4400000,170.0000000,43.7577553,13.9776001
786449,1.1200000,5.4800000,152.0000000,41.8061752,14.0688000
786451,1.1200000,5.5600000,242.0000000,113.6826935,70.4479980
786452,1.1200000,5.6000000,262.0000000,117.6198730,69.3888016
786453,1.1200000,5.6400000,258.0000000,109.0804672,61.1279984
786454,1.1200000,5.6800000,253.0000000,101.1725311,54.1311989
786455,1.1200000,5.7200000,246.0000000,92.2580109,46.4496002
786456,1.1200000,5.7600000,244.0000000,87.6310577,42.2448006
786457,1.1200000,5.8000000,244.0000000,84.1673813,38.7855988
786458,1.1200000,5.8400000,247.0000000,82.4667816,36.2351990
786459,1.1200000,5.8800000,253.0000000,84.7132645,37.3680000
786460,1.1200000,5.9200000,273.0000000,96.7434235,45.7439995
786461,1.1200000,5.9600000,426.0000000,458.5545959,1023.6815796
786462,1.1200000,6.0000000,442.0000000,494.1949768,1128.5727539
786463,1.1200000,6.0400000,258.0000000,88.3569870,40.7935982
786464,1.1200000,6.0800000,246.0000000,82.5527573,37.8496017
786465,1.1200000,6.1200000,241.0000000,82.6121521,39.4928017
786466,1.1200000,6.1600000,239.0000000,86.1603012,44.4640007
786467,1.1200000,6.2000000,244.0000000,95.2885971,54.0800018
786468,1.1200000,6.2400000,242.0000000,98.9771194,58.5167999
786469,1.1200000,6.2800000,243.0000000,104.7796783,64.4352036
786470,1.1200000,6.3200000,241.0000000,109.4513016,69.9247971
786471,1.1200000,6.3600000,228.0000000,109.7264252,73.9328003
786472,1.1200000,6.4000000,225.0000000,117.0337296,82.4863968
786476,1.1200000,6.5600000,62.0000000,18.2186184,7.9503999
786477,1.1200000,6.6000000,20.0000000,5.7555542,2.3664000
786481,1.1200000,6.7600000,26.0000000,9.8878822,7.0176001
786482,1.1200000,6.8000000,52.0000000,15.8392820,7.1055999
786488,1.1200000,7.0400000,71.0000000,18.6722984,5.9136000
786489,1.1200000,7.0800000,72.0000000,17.7300014,5.4608002
786490,1.1200000,7.1200000,146.0000000,54.8479424,30.2000008
786491,1.1200000,7.1600000,138.0000000,51.3018074,28.3535995
786492,1.1200000,7.2000000,72.0000000,17.7300014,5.4608002
786493,1.1200000,7.2400000,71.0000000,18.6722984,5.9136000
786495,1.1200000,7.3200000,71.0000000,18.6722984,5.9136000
786496,1.1200000,7.3600000,71.0000000,17.6405582,5.4527998
786497,1.1200000,7.4000000,71.0000000,17.1117344,5.2224002
786498,1.1200000,7.4400000,71.0000000,17.1117344,5.2224002
786499,1.1200000,7.4800000,71.0000000,17.6405582,5.4527998
786500,1.1200000,7.5200000,71.0000000,18.6722984,5.9136000
786502,1.1200000,7.6000000,59.0000000,14.9045029,4.6240001
786503,1.1200000,7.6400000,96.0000000,29.1636810,12.4320002
786504,1.1200000,7.6800000,126.0000000,42.3022003,19.7423992
786505,1.1200000,7.7200000,79.0000000,20.0705662,6.2848001
786506,1.1200000,7.7600000,60.0000000,15.3163280,4.7936001
851976,1.1600000,5.1200000,247.0000000,137.8508148,120.5759964
851977,1.1600000,5.1600000,270.0000000,151.7214813,132.2671967
851978,1.1600000,5.2000000,292.0000000,165.8554230,144.7568054
851979,1.1600000,5.2400000,287.0000000,154.6187134,129.4960022
851980,1.1600000,5.2800000,276.0000000,134.9077606,104.0943985
851981,1.1600000,5.3200000,274.0000000,129.0333862,95.6256027
851982,1.1600000,5.3600000,281.0000000,130.1462555,92.5823975
851983,1.1600000,5.4000000,293.0000000,133.6178131,90.3519974
851984,1.1600000,5.4400000,308.0000000,140.1919861,90.9888000
851985,1.1600000,5.4800000,338.0000000,153.3654022,94.9456024
851986,1.1600000,5.5200000,323.0000000,145.5214233,87.1472015
851987,1.1600000,5.5600000,291.0000000,130.9635468,77.6207962
851988,1.1600000,5.6000000,270.0000000,117.0274353,67.5136032
851989,1.1600000,5.6400000,256.0000000,105.2482300,58.2431984
851990,1.1600000,5.6800000,251.0000000,98.2811584,52.1024017
