Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
327727,0.9600000,7.6200000,36.0000000,0.1466325,0.1935968,31.7562943,0.1301019,0.9878810,0.0475620,1.5039004,3.0851123,10.9319897,5.5008001
327728,0.9600000,7.6800000,43.0000000,0.1780317,0.2219769,358.2518921,0.2152347,0.9775912,0.1013220,1.5267344,3.1746786,15.8197412,9.4463997
327729,0.9600000,7.7400000,31.0000000,0.1315693,0.1594145,285.8473206,0.0792341,0.9102101,0.0413220,1.6954664,3.2204628,6.8078914,2.0051999
393221,1.0200000,5.1000000,88.0000000,0.2889319,0.2032377,51.9494591,0.3390778,1.1087958,0.0039530,2.0646803,4.2266917,33.5037041,16.7831993
393222,1.0200000,5.1600000,96.0000000,0.3127930,0.1376783,31.1704464,0.3416673,1.5357186,0.0639530,3.1249287,5.3431907,40.8551140,27.4104004
393223,1.0200000,5.2200000,96.0000000,0.3271129,0.1355036,14.4646959,0.3642205,1.5337170,0.1226540,3.1778514,5.5078015,39.7402077,27.7056007
393224,1.0200000,5.2800000,81.0000000,0.2757297,0.1690796,7.5866256,0.2257702,1.1980706,0.1226540,2.4227862,4.5269022,23.3950920,9.6731997
393225,1.0200000,5.3400000,79.0000000,0.2588239,0.2251359,348.7380371,0.2036121,0.9305598,0.1226540,1.7891945,3.8008850,22.0084076,8.1647997
393226,1.0200000,5.4000000,75.0000000,0.2444995,0.2240241,329.3325806,0.2109540,0.9608716,0.0965960,1.7523006,3.7033651,21.1681080,7.6824002
393227,1.0200000,5.4600000,71.0000000,0.2366193,0.4384224,314.8860168,0.2461035,0.7655469,0.0365960,0.7107773,2.6042559,21.4658813,7.8336000
393229,1.0200000,5.5800000,91.0000000,0.3539321,0.2847355,69.8813019,0.4438144,1.2559816,0.0372050,1.2988361,3.9522476,43.3498878,25.8192005
393230,1.0200000,5.6400000,94.0000000,0.3679963,0.2665024,64.5281754,0.3697633,1.2018175,0.0372050,1.4270184,4.1655860,40.5053711,22.1508007
393231,1.0200000,5.7000000,100.0000000,0.3884409,0.1293019,54.9755287,0.2956710,1.8423076,0.0372050,3.3007321,6.1441936,40.9553680,21.2579994
