Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Through vision
393255,1.02000000,7.14000000,44.00000000,17.13909149,10.95839977,388.00000000
393256,1.02000000,7.20000000,29.00000000,6.07937622,1.57319999,112.00000000
393258,1.02000000,7.32000000,31.00000000,6.61989212,1.72800004,38.00000000
393259,1.02000000,7.38000000,31.00000000,6.00907755,1.49759996,82.00000000
393260,1.02000000,7.44000000,31.00000000,6.00907755,1.49759996,82.00000000
393261,1.02000000,7.50000000,32.00000000,7.08850718,1.94760001,38.00000000
393263,1.02000000,7.62000000,31.00000000,7.05613804,2.11680007,180.00000000
393264,1.02000000,7.68000000,43.00000000,15.32364368,8.39519978,396.00000000
393265,1.02000000,7.74000000,30.00000000,6.58433914,1.79639995,106.00000000
458757,1.08000000,5.10000000,96.00000000,40.60129547,25.17840004,124.00000000
458758,1.08000000,5.16000000,106.00000000,46.38515472,31.04640007,487.00000000
458759,1.08000000,5.22000000,106.00000000,44.24412155,30.00600052,680.00000000
458760,1.08000000,5.28000000,91.00000000,27.01309013,11.20320034,696.00000000
458761,1.08000000,5.34000000,85.00000000,23.02655602,8.24040031,643.00000000
458762,1.08000000,5.40000000,76.00000000,19.08142853,5.80319977,418.00000000
458763,1.08000000,5.46000000,75.00000000,21.57253456,7.52759981,111.00000000
458765,1.08000000,5.58000000,96.00000000,44.04328918,26.25839996,40.00000000
458766,1.08000000,5.64000000,107.00000000,46.63488007,26.42399979,298.00000000
458767,1.08000000,5.70000000,106.00000000,42.27201843,22.10759926,538.00000000
458768,1.08000000,5.76000000,107.00000000,39.94696426,19.58040047,696.00000000
458769,1.08000000,5.82000000,103.00000000,35.41400909,15.86880016,818.00000000
458770,1.08000000,5.88000000,109.00000000,38.04235840,17.36280060,892.00000000
458771,1.08000000,5.94000000,223.00000000,289.69946289,689.12640381,1154.00000000
458772,1.08000000,6.00000000,224.00000000,291.07287598,690.66357422,1152.00000000
458773,1.08000000,6.06000000,112.00000000,42.29165268,22.46039963,888.00000000
458774,1.08000000,6.12000000,107.00000000,40.93088913,22.37039948,808.00000000
458775,1.08000000,6.18000000,105.00000000,41.78563690,23.66279984,668.00000000
458776,1.08000000,6.24000000,99.00000000,40.97061157,24.20999908,466.00000000
458777,1.08000000,6.30000000,97.00000000,43.95406342,28.02960014,246.00000000
458778,1.08000000,6.36000000,95.00000000,47.19939041,31.71599960,28.00000000
458781,1.08000000,6.54000000,30.00000000,8.37633801,3.72600007,92.00000000
458785,1.08000000,6.78000000,23.00000000,9.62978363,6.08039999,28.00000000
458790,1.08000000,7.08000000,28.00000000,6.87446213,2.06999993,16.00000000
458791,1.08000000,7.14000000,47.00000000,18.36944389,10.83600044,455.00000000
458792,1.08000000,7.20000000,27.00000000,6.44635868,1.89359999,43.00000000
458794,1.08000000,7.32000000,31.00000000,7.88915539,2.41919994,0.00000000
458795,1.08000000,7.38000000,31.00000000,7.35054255,2.18880010,10.00000000
458796,1.08000000,7.44000000,31.00000000,7.35054255,2.18880010,10.00000000
458797,1.08000000,7.50000000,31.00000000,7.88915539,2.41919994,0.00000000
458799,1.08000000,7.62000000,28.00000000,6.56601954,1.90439999,122.00000000
458800,1.08000000,7.68000000,48.00000000,16.83477783,8.31960011,482.00000000
458801,1.08000000,7.74000000,32.00000000,8.06240177,2.45880008,35.00000000
524293,1.14000000,5.10000000,111.00000000,59.24015427,50.79600143,124.00000000
524294,1.14000000,5.16000000,121.00000000,62.96975327,52.12799835,583.00000000
524295,1.14000000,5.22000000,129.00000000,68.01834106,57.12120056,834.00000000
524296,1.14000000,5.28000000,121.00000000,54.60052109,39.98519897,972.00000000
524297,1.14000000,5.34000000,120.00000000,51.82098770,35.63280106,990.00000000
524298,1.14000000,5.40000000,113.00000000,41.55378342,21.40920067,970.00000000
524299,1.14000000,5.46000000,102.00000000,33.44426727,14.12639999,822.00000000
524301,1.14000000,5.58000000,122.00000000,55.41840744,32.51520157,820.00000000
524302,1.14000000,5.64000000,113.00000000,47.58223724,26.58959961,970.00000000
524303,1.14000000,5.70000000,106.00000000,40.83195496,21.31200027,1094.00000000
524304,1.14000000,5.76000000,104.00000000,37.41974640,18.39959908,1176.00000000
524305,1.14000000,5.82000000,104.00000000,35.25284195,16.28280067,1238.00000000
524306,1.14000000,5.88000000,107.00000000,35.49402618,15.91919994,1296.00000000
524307,1.14000000,5.94000000,225.00000000,282.79678345,659.42279053,1744.00000000
524308,1.14000000,6.00000000,223.00000000,281.46319580,658.58398438,1699.00000000
524309,1.14000000,6.06000000,105.00000000,34.41274643,15.50879955,1163.00000000
524310,1.14000000,6.12000000,100.00000000,33.35061646,15.75720024,1022.00000000
524311,1.14000000,6.18000000,98.00000000,34.22094345,16.92359924,886.00000000
524312,1.14000000,6.24000000,97.00000000,36.67174530,19.74600029,734.00000000
524313,1.14000000,6.30000000,100.00000000,42.55854416,25.34399986,546.00000000
524314,1.14000000,6.36000000,102.00000000,47.50336075,29.91239929,296.00000000
524317,1.14000000,6.54000000,23.00000000,5.49512815,1.93320000,132.00000000
524318,1.14000000,6.60000000,37.00000000,20.82320213,14.65200043,55.00000000
524321,1.14000000,6.78000000,22.00000000,8.02217197,4.05000019,48.00000000
524327,1.14000000,7.14000000,54.00000000,20.28432274,10.84319973,494.00000000
