Ref,x,y,Connectivity,Gate Counts,Point First Moment,Point Second Moment
327745,0.84000000,7.40000000,83.00000000,138.00000000,14.04659748,2.93759990
327746,0.84000000,7.44000000,85.00000000,133.00000000,14.62645149,3.13120008
327747,0.84000000,7.48000000,82.00000000,108.00000000,15.30608368,3.62560010
327748,0.84000000,7.52000000,82.00000000,67.00000000,17.15569305,4.49440002
327750,0.84000000,7.60000000,82.00000000,43.00000000,23.93994141,12.03520012
327751,0.84000000,7.64000000,94.00000000,115.00000000,33.64041138,21.42720032
327752,0.84000000,7.68000000,109.00000000,143.00000000,42.13192749,27.83200073
327753,0.84000000,7.72000000,105.00000000,102.00000000,37.92315674,22.92959976
327754,0.84000000,7.76000000,85.00000000,35.00000000,21.76741028,8.06079960
393257,0.88000000,6.44000000,42.00000000,46.00000000,8.74694443,2.34719992
393258,0.88000000,6.48000000,60.00000000,43.00000000,21.75075912,13.07199955
393259,0.88000000,6.52000000,52.00000000,37.00000000,14.96798706,8.02719975
393260,0.88000000,6.56000000,38.00000000,28.00000000,5.78655100,1.18239999
393261,0.88000000,6.60000000,36.00000000,28.00000000,5.37771797,0.99040002
393262,0.88000000,6.64000000,32.00000000,19.00000000,5.09249592,0.95520002
393264,0.88000000,6.72000000,19.00000000,29.00000000,2.69904661,0.50400001
393265,0.88000000,6.76000000,23.00000000,26.00000000,3.34363914,0.63840002
393266,0.88000000,6.80000000,41.00000000,48.00000000,15.74874401,11.21599960
393272,0.88000000,7.04000000,87.00000000,20.00000000,19.07238388,5.40000010
393273,0.88000000,7.08000000,89.00000000,79.00000000,19.27821732,6.43359995
393274,0.88000000,7.12000000,133.00000000,111.00000000,56.96473312,42.82080078
393275,0.88000000,7.16000000,126.00000000,118.00000000,51.60908890,38.28480148
393276,0.88000000,7.20000000,91.00000000,82.00000000,22.26264381,9.29920006
393277,0.88000000,7.24000000,82.00000000,14.00000000,17.05022621,4.54559994
393279,0.88000000,7.32000000,78.00000000,34.00000000,15.03821945,3.51999998
393280,0.88000000,7.36000000,76.00000000,110.00000000,12.65720081,2.55040002
393281,0.88000000,7.40000000,77.00000000,123.00000000,11.78551006,2.12960005
393282,0.88000000,7.44000000,74.00000000,122.00000000,11.13837051,1.99039996
393283,0.88000000,7.48000000,76.00000000,103.00000000,12.65720081,2.55040002
393284,0.88000000,7.52000000,79.00000000,54.00000000,15.34285069,3.61279988
393286,0.88000000,7.60000000,77.00000000,24.00000000,19.34288406,7.91359997
393287,0.88000000,7.64000000,95.00000000,110.00000000,33.13190842,20.52000046
393288,0.88000000,7.68000000,104.00000000,149.00000000,38.88245010,24.93759918
393289,0.88000000,7.72000000,100.00000000,101.00000000,34.07425308,19.81279945
393290,0.88000000,7.76000000,80.00000000,29.00000000,17.99533463,5.38399982
458760,0.92000000,5.12000000,165.00000000,50.00000000,66.93367004,33.51359940
458761,0.92000000,5.16000000,183.00000000,43.00000000,85.82091522,58.86880112
458762,0.92000000,5.20000000,188.00000000,38.00000000,92.15937805,70.94560242
458763,0.92000000,5.24000000,176.00000000,29.00000000,77.41838837,53.99039841
458764,0.92000000,5.28000000,162.00000000,34.00000000,58.95347977,29.92160034
458765,0.92000000,5.32000000,158.00000000,42.00000000,54.27157593,24.65119934
458766,0.92000000,5.36000000,154.00000000,35.00000000,52.54640198,23.44479942
458767,0.92000000,5.40000000,148.00000000,38.00000000,49.67876053,20.87039948
458768,0.92000000,5.44000000,148.00000000,41.00000000,51.96020126,22.46080017
458769,0.92000000,5.48000000,146.00000000,35.00000000,53.06225586,22.82080078
458793,0.92000000,6.44000000,39.00000000,50.00000000,6.83128452,1.57599998
458794,0.92000000,6.48000000,63.00000000,92.00000000,21.04937553,11.91839981
458795,0.92000000,6.52000000,61.00000000,74.00000000,18.97497559,10.86559963
458796,0.92000000,6.56000000,43.00000000,71.00000000,6.16934824,1.24319994
458797,0.92000000,6.60000000,39.00000000,57.00000000,5.22299480,0.87840003
458798,0.92000000,6.64000000,34.00000000,20.00000000,4.71011305,0.78399998
458800,0.92000000,6.72000000,23.00000000,51.00000000,2.75892234,0.44319999
458801,0.92000000,6.76000000,26.00000000,57.00000000,3.39655852,0.60159999
458802,0.92000000,6.80000000,50.00000000,79.00000000,20.40247917,15.15040016
458808,0.92000000,7.04000000,86.00000000,17.00000000,18.34851456,4.95039988
458809,0.92000000,7.08000000,85.00000000,74.00000000,16.34422302,4.10720015
458810,0.92000000,7.12000000,132.00000000,127.00000000,54.40893936,39.21440125
458811,0.92000000,7.16000000,124.00000000,130.00000000,49.05295181,35.00320053
458812,0.92000000,7.20000000,87.00000000,71.00000000,18.25230598,5.73120022
458813,0.92000000,7.24000000,82.00000000,10.00000000,16.70273209,4.26719999
458815,0.92000000,7.32000000,75.00000000,34.00000000,13.81851864,3.00640011
458816,0.92000000,7.36000000,74.00000000,111.00000000,11.96116066,2.29600000
458817,0.92000000,7.40000000,71.00000000,114.00000000,10.33815193,1.76639998
458818,0.92000000,7.44000000,74.00000000,120.00000000,11.18668079,2.01279998
458819,0.92000000,7.48000000,75.00000000,107.00000000,12.36116123,2.45600009
458820,0.92000000,7.52000000,75.00000000,52.00000000,13.79587746,2.98880005
458822,0.92000000,7.60000000,73.00000000,17.00000000,15.45825386,4.58400011
458823,0.92000000,7.64000000,96.00000000,103.00000000,32.26950836,18.88319969
458824,0.92000000,7.68000000,106.00000000,154.00000000,38.39807510,23.44960022
458825,0.92000000,7.72000000,96.00000000,115.00000000,30.71974945,16.90559959
458826,0.92000000,7.76000000,77.00000000,23.00000000,16.52857399,4.64639997
524296,0.96000000,5.12000000,170.00000000,55.00000000,65.61161804,31.68639946
524297,0.96000000,5.16000000,185.00000000,98.00000000,80.56738281,52.26079941
524298,0.96000000,5.20000000,190.00000000,90.00000000,87.51490784,65.34239960
524299,0.96000000,5.24000000,178.00000000,89.00000000,72.87931061,49.13919830
524300,0.96000000,5.28000000,165.00000000,87.00000000,55.56336212,27.10720062
524301,0.96000000,5.32000000,158.00000000,68.00000000,49.38025665,21.02239990
524302,0.96000000,5.36000000,154.00000000,69.00000000,47.38404465,19.46719933
524303,0.96000000,5.40000000,154.00000000,70.00000000,49.08913040,20.51679993
524304,0.96000000,5.44000000,147.00000000,65.00000000,46.75740814,18.38879967
524305,0.96000000,5.48000000,147.00000000,35.00000000,49.90449905,20.44799995
524329,0.96000000,6.44000000,39.00000000,36.00000000,6.44165182,1.37279999
524330,0.96000000,6.48000000,46.00000000,65.00000000,7.99898767,2.05439997
524331,0.96000000,6.52000000,66.00000000,91.00000000,20.55431557,11.47519970
524332,0.96000000,6.56000000,45.00000000,80.00000000,6.05416012,1.12800002
524333,0.96000000,6.60000000,43.00000000,98.00000000,5.18571949,0.75040001
524334,0.96000000,6.64000000,41.00000000,108.00000000,5.10971880,0.75199997
524335,0.96000000,6.68000000,41.00000000,93.00000000,5.67901993,0.94400001
524336,0.96000000,6.72000000,37.00000000,91.00000000,5.16593742,0.93440002
524337,0.96000000,6.76000000,36.00000000,75.00000000,5.56563568,1.17279994
524338,0.96000000,6.80000000,62.00000000,73.00000000,24.94735909,17.56640053
524344,0.96000000,7.04000000,83.00000000,22.00000000,17.35401154,4.50719976
524345,0.96000000,7.08000000,85.00000000,58.00000000,16.44553757,4.06720018
524346,0.96000000,7.12000000,132.00000000,131.00000000,53.13528061,36.68640137
524347,0.96000000,7.16000000,125.00000000,140.00000000,48.64756012,33.32640076
524348,0.96000000,7.20000000,84.00000000,69.00000000,16.05558777,3.93759990
524349,0.96000000,7.24000000,81.00000000,11.00000000,16.33350563,4.02559996
524351,0.96000000,7.32000000,74.00000000,35.00000000,13.89340115,3.10240006
524352,0.96000000,7.36000000,71.00000000,92.00000000,11.47516346,2.22720003
524353,0.96000000,7.40000000,71.00000000,129.00000000,10.79890442,1.99679995
524354,0.96000000,7.44000000,71.00000000,120.00000000,10.79890442,1.99679995
524355,0.96000000,7.48000000,74.00000000,98.00000000,12.49339771,2.57920003
524356,0.96000000,7.52000000,74.00000000,53.00000000,13.89340115,3.10240006
524358,0.96000000,7.60000000,71.00000000,13.00000000,14.11214066,3.53600001
524359,0.96000000,7.64000000,98.00000000,92.00000000,32.99741745,18.62719917
524360,0.96000000,7.68000000,107.00000000,171.00000000,37.74485779,21.91200066
524361,0.96000000,7.72000000,96.00000000,112.00000000,29.76817894,15.56960011
524362,0.96000000,7.76000000,73.00000000,19.00000000,14.95808125,3.92479992
589832,1.00000000,5.12000000,174.00000000,52.00000000,65.32402802,31.70240021
589833,1.00000000,5.16000000,191.00000000,83.00000000,80.14205170,50.98239899
589834,1.00000000,5.20000000,196.00000000,103.00000000,86.54006958,63.28319931
589835,1.00000000,5.24000000,185.00000000,121.00000000,71.88869476,46.65439987
589836,1.00000000,5.28000000,168.00000000,111.00000000,52.23185730,23.87840080
589837,1.00000000,5.32000000,162.00000000,109.00000000,46.64928818,18.47039986
589838,1.00000000,5.36000000,155.00000000,93.00000000,43.29681015,16.13279915
589839,1.00000000,5.40000000,152.00000000,76.00000000,43.63175583,16.46080017
589840,1.00000000,5.44000000,147.00000000,73.00000000,43.17771530,15.84640026
589841,1.00000000,5.48000000,146.00000000,25.00000000,45.87985611,17.52000046
589843,1.00000000,5.56000000,212.00000000,13.00000000,107.25991821,67.76480103
589844,1.00000000,5.60000000,216.00000000,19.00000000,101.99606323,61.40319824
589845,1.00000000,5.64000000,220.00000000,12.00000000,100.21714783,60.71360016
589846,1.00000000,5.68000000,230.00000000,15.00000000,100.38043213,58.62720108
589847,1.00000000,5.72000000,241.00000000,16.00000000,106.37510681,65.30560303
589848,1.00000000,5.76000000,241.00000000,16.00000000,99.90070343,55.56959915
589849,1.00000000,5.80000000,252.00000000,18.00000000,105.71747589,60.64160156
589850,1.00000000,5.84000000,256.00000000,17.00000000,105.91825104,59.20959854
589851,1.00000000,5.88000000,264.00000000,13.00000000,109.86177063,61.68320084
589852,1.00000000,5.92000000,281.00000000,16.00000000,125.52368164,78.78720093
589853,1.00000000,5.96000000,414.00000000,18.00000000,484.10067749,1121.30395508
589854,1.00000000,6.00000000,427.00000000,18.00000000,514.89672852,1218.80163574
589855,1.00000000,6.04000000,253.00000000,16.00000000,99.34912872,51.17919922
589856,1.00000000,6.08000000,240.00000000,23.00000000,90.81665802,44.73279953
589857,1.00000000,6.12000000,233.00000000,22.00000000,88.30863190,43.91199875
589858,1.00000000,6.16000000,229.00000000,19.00000000,89.71872711,47.02399826
589859,1.00000000,6.20000000,225.00000000,17.00000000,91.70388031,50.41600037
589860,1.00000000,6.24000000,224.00000000,18.00000000,95.52631378,54.92319870
589861,1.00000000,6.28000000,222.00000000,22.00000000,99.45674896,59.54719925
589862,1.00000000,6.32000000,221.00000000,32.00000000,105.13754272,66.40959930
589863,1.00000000,6.36000000,218.00000000,48.00000000,109.76509094,72.20159912
589864,1.00000000,6.40000000,218.00000000,36.00000000,116.79842377,80.28320312
589865,1.00000000,6.44000000,38.00000000,28.00000000,6.33260632,1.34720004
589866,1.00000000,6.48000000,39.00000000,60.00000000,5.49577141,1.00800002
589867,1.00000000,6.52000000,68.00000000,111.00000000,19.65449524,9.84480000
589868,1.00000000,6.56000000,47.00000000,99.00000000,6.42402935,1.14400005
589869,1.00000000,6.60000000,42.00000000,80.00000000,5.06048155,0.72000003
589870,1.00000000,6.64000000,43.00000000,75.00000000,5.53403950,0.83359998
589871,1.00000000,6.68000000,41.00000000,91.00000000,5.88141823,1.00479996
589872,1.00000000,6.72000000,39.00000000,91.00000000,5.79911327,1.11199999
589873,1.00000000,6.76000000,38.00000000,92.00000000,6.17225552,1.35520005
589874,1.00000000,6.80000000,69.00000000,92.00000000,27.14437485,17.59199905
589880,1.00000000,7.04000000,83.00000000,15.00000000,17.99099159,4.81120014
589881,1.00000000,7.08000000,85.00000000,50.00000000,16.96696091,4.28160000
589882,1.00000000,7.12000000,131.00000000,131.00000000,51.40573883,33.81760025
589883,1.00000000,7.16000000,127.00000000,143.00000000,48.66389847,31.76639938
589884,1.00000000,7.20000000,84.00000000,59.00000000,16.44479370,4.05600023
589885,1.00000000,7.24000000,77.00000000,12.00000000,15.48338032,3.74239993
589887,1.00000000,7.32000000,71.00000000,34.00000000,13.65002346,3.14879990
589888,1.00000000,7.36000000,71.00000000,104.00000000,12.37451553,2.68799996
589889,1.00000000,7.40000000,71.00000000,127.00000000,11.71772289,2.45760012
589890,1.00000000,7.44000000,71.00000000,103.00000000,11.71772289,2.45760012
589891,1.00000000,7.48000000,71.00000000,96.00000000,12.37451553,2.68799996
589892,1.00000000,7.52000000,74.00000000,54.00000000,14.83796310,3.62560010
589894,1.00000000,7.60000000,72.00000000,16.00000000,14.66932869,3.68959999
589895,1.00000000,7.64000000,99.00000000,85.00000000,33.07009506,17.87999916
589896,1.00000000,7.68000000,109.00000000,175.00000000,37.37170029,20.32480049
589897,1.00000000,7.72000000,92.00000000,117.00000000,25.65316582,11.37600040
589898,1.00000000,7.76000000,76.00000000,19.00000000,16.43910027,4.46880007
655368,1.04000000,5.12000000,185.00000000,37.00000000,70.70770264,36.06880188
655369,1.04000000,5.16000000,200.00000000,98.00000000,82.99183655,52.30080032
655370,1.04000000,5.20000000,203.00000000,96.00000000,87.04553986,61.89120102
655371,1.04000000,5.24000000,191.00000000,152.00000000,71.52630615,45.02239990
655372,1.04000000,5.28000000,174.00000000,150.00000000,50.28626251,20.81760025
655373,1.04000000,5.32000000,163.00000000,127.00000000,43.15816498,15.61760044
655374,1.04000000,5.36000000,158.00000000,114.00000000,40.13125992,13.19839954
655375,1.04000000,5.40000000,154.00000000,90.00000000,40.52157593,13.80959988
655376,1.04000000,5.44000000,149.00000000,64.00000000,40.65221024,13.84480000
655377,1.04000000,5.48000000,149.00000000,24.00000000,45.18235397,16.93919945
655379,1.04000000,5.56000000,213.00000000,12.00000000,104.11543274,64.85600281
655380,1.04000000,5.60000000,219.00000000,24.00000000,99.47840118,58.49599838
655381,1.04000000,5.64000000,228.00000000,41.00000000,97.97690582,54.90399933
655382,1.04000000,5.68000000,238.00000000,47.00000000,99.39585876,54.06880188
655383,1.04000000,5.72000000,244.00000000,45.00000000,98.36259460,51.80479813
655384,1.04000000,5.76000000,243.00000000,47.00000000,94.41505432,48.21440125
655385,1.04000000,5.80000000,249.00000000,53.00000000,96.08177948,49.91999817
655386,1.04000000,5.84000000,251.00000000,64.00000000,94.58207703,47.88320160
655387,1.04000000,5.88000000,263.00000000,60.00000000,103.27004242,56.96960068
655388,1.04000000,5.92000000,278.00000000,57.00000000,114.54056549,66.80480194
655389,1.04000000,5.96000000,422.00000000,58.00000000,479.31869507,1093.45275879
655390,1.04000000,6.00000000,435.00000000,55.00000000,512.56005859,1198.80957031
655391,1.04000000,6.04000000,260.00000000,62.00000000,99.80612183,52.19520187
655392,1.04000000,6.08000000,245.00000000,72.00000000,89.75479889,44.17440033
655393,1.04000000,6.12000000,237.00000000,70.00000000,86.90333557,43.29919815
655394,1.04000000,6.16000000,230.00000000,73.00000000,85.21470642,43.18719864
655395,1.04000000,6.20000000,226.00000000,83.00000000,87.20829010,46.64960098
655396,1.04000000,6.24000000,224.00000000,80.00000000,91.47983551,51.87200165
655397,1.04000000,6.28000000,224.00000000,80.00000000,97.73751831,59.11360168
655398,1.04000000,6.32000000,221.00000000,79.00000000,102.05475616,64.42079926
655399,1.04000000,6.36000000,222.00000000,64.00000000,110.06547546,73.52320099
655400,1.04000000,6.40000000,220.00000000,37.00000000,115.99121094,80.25119781
655401,1.04000000,6.44000000,36.00000000,20.00000000,6.27443886,1.34080005
655402,1.04000000,6.48000000,36.00000000,31.00000000,5.37564850,1.00639999
655403,1.04000000,6.52000000,65.00000000,89.00000000,18.36675453,8.49279976
655404,1.04000000,6.56000000,57.00000000,102.00000000,14.74328804,7.45919991
655405,1.04000000,6.60000000,37.00000000,34.00000000,5.05031347,0.81279999
655406,1.04000000,6.64000000,31.00000000,5.00000000,4.46123219,0.74400002
655408,1.04000000,6.72000000,18.00000000,15.00000000,2.00622129,0.26080000
655409,1.04000000,6.76000000,29.00000000,91.00000000,4.24436378,0.83520001
655410,1.04000000,6.80000000,62.00000000,129.00000000,22.12296486,12.37279987
655416,1.04000000,7.04000000,78.00000000,16.00000000,17.31529045,4.71680021
655417,1.04000000,7.08000000,82.00000000,38.00000000,16.92235756,4.39680004
655418,1.04000000,7.12000000,134.00000000,129.00000000,51.70326233,32.11360168
655419,1.04000000,7.16000000,129.00000000,166.00000000,48.89748764,30.32799911
655420,1.04000000,7.20000000,83.00000000,36.00000000,17.00064087,4.37120008
655421,1.04000000,7.24000000,78.00000000,12.00000000,17.00893784,4.50719976
655423,1.04000000,7.32000000,71.00000000,46.00000000,14.93261623,3.83999991
655424,1.04000000,7.36000000,71.00000000,114.00000000,13.71424675,3.37919998
655425,1.04000000,7.40000000,71.00000000,113.00000000,13.08805847,3.14879990
655426,1.04000000,7.44000000,71.00000000,99.00000000,13.08805847,3.14879990
655427,1.04000000,7.48000000,71.00000000,92.00000000,13.71424675,3.37919998
655428,1.04000000,7.52000000,72.00000000,56.00000000,15.30139828,3.97600007
655430,1.04000000,7.60000000,69.00000000,11.00000000,14.36795330,3.67840004
655431,1.04000000,7.64000000,101.00000000,80.00000000,33.71097565,17.34880066
655432,1.04000000,7.68000000,111.00000000,196.00000000,38.16502380,19.99360085
655433,1.04000000,7.72000000,89.00000000,120.00000000,23.10705185,8.82400036
655434,1.04000000,7.76000000,74.00000000,11.00000000,16.56780624,4.60160017
720904,1.08000000,5.12000000,201.00000000,22.00000000,85.26510620,52.65760040
720905,1.08000000,5.16000000,219.00000000,103.00000000,96.50323486,64.75039673
720906,1.08000000,5.20000000,221.00000000,135.00000000,97.31182861,68.98880005
720907,1.08000000,5.24000000,208.00000000,149.00000000,80.38386536,50.90079880
720908,1.08000000,5.28000000,186.00000000,153.00000000,54.49175644,22.55999947
720909,1.08000000,5.32000000,175.00000000,166.00000000,46.61184311,17.10239983
720910,1.08000000,5.36000000,170.00000000,151.00000000,43.30686569,14.62240028
720911,1.08000000,5.40000000,157.00000000,132.00000000,38.03725815,11.45279980
720912,1.08000000,5.44000000,154.00000000,80.00000000,40.53104019,13.42240047
720913,1.08000000,5.48000000,151.00000000,28.00000000,44.11794662,15.94079971
720915,1.08000000,5.56000000,217.00000000,14.00000000,103.57859039,64.19360352
720916,1.08000000,5.60000000,233.00000000,44.00000000,103.64909363,60.28960037
720917,1.08000000,5.64000000,249.00000000,59.00000000,107.57411194,60.62720108
720918,1.08000000,5.68000000,250.00000000,63.00000000,102.89072418,55.97280121
720919,1.08000000,5.72000000,247.00000000,77.00000000,96.68161774,50.24160004
720920,1.08000000,5.76000000,246.00000000,105.00000000,91.19626617,44.81280136
720921,1.08000000,5.80000000,239.00000000,108.00000000,83.17420959,38.00799942
720922,1.08000000,5.84000000,246.00000000,115.00000000,84.50733185,37.81919861
720923,1.08000000,5.88000000,255.00000000,123.00000000,88.88998413,40.58879852
720924,1.08000000,5.92000000,271.00000000,123.00000000,100.64622498,50.78079987
720925,1.08000000,5.96000000,420.00000000,114.00000000,464.32104492,1053.47839355
720926,1.08000000,6.00000000,438.00000000,126.00000000,502.43750000,1162.80322266
720927,1.08000000,6.04000000,262.00000000,118.00000000,97.80039978,51.75839996
720928,1.08000000,6.08000000,249.00000000,112.00000000,89.92333221,45.88000107
720929,1.08000000,6.12000000,244.00000000,121.00000000,89.66532898,46.94400024
720930,1.08000000,6.16000000,240.00000000,115.00000000,90.50197601,48.55680084
720931,1.08000000,6.20000000,236.00000000,107.00000000,90.68074036,49.06240082
720932,1.08000000,6.24000000,229.00000000,112.00000000,91.16905975,51.45920181
720933,1.08000000,6.28000000,223.00000000,109.00000000,92.68647003,54.44800186
720934,1.08000000,6.32000000,222.00000000,105.00000000,99.40988159,61.99200058
720935,1.08000000,6.36000000,221.00000000,72.00000000,106.10816193,69.47200012
720936,1.08000000,6.40000000,220.00000000,33.00000000,113.45081329,77.68640137
720940,1.08000000,6.56000000,71.00000000,157.00000000,20.96508598,9.72959995
720946,1.08000000,6.80000000,58.00000000,175.00000000,19.02194214,9.39840031
720952,1.08000000,7.04000000,75.00000000,15.00000000,17.76130104,5.14239979
720953,1.08000000,7.08000000,81.00000000,22.00000000,18.33187294,5.21600008
720954,1.08000000,7.12000000,139.00000000,148.00000000,52.72524261,30.74880028
720955,1.08000000,7.16000000,133.00000000,174.00000000,49.98527908,29.26560020
720956,1.08000000,7.20000000,79.00000000,19.00000000,17.34951973,4.77920008
720957,1.08000000,7.24000000,73.00000000,13.00000000,17.01742554,4.84800005
720959,1.08000000,7.32000000,71.00000000,75.00000000,16.61707878,4.76160002
720960,1.08000000,7.36000000,71.00000000,87.00000000,15.47945309,4.30079985
720961,1.08000000,7.40000000,71.00000000,94.00000000,14.89612293,4.07040024
720962,1.08000000,7.44000000,71.00000000,87.00000000,14.89612293,4.07040024
720963,1.08000000,7.48000000,71.00000000,95.00000000,15.47945309,4.30079985
720964,1.08000000,7.52000000,71.00000000,55.00000000,16.61707878,4.76160002
720966,1.08000000,7.60000000,64.00000000,10.00000000,14.09388542,3.86240005
720967,1.08000000,7.64000000,104.00000000,58.00000000,34.64449310,16.92480087
720968,1.08000000,7.68000000,117.00000000,245.00000000,39.73873520,19.64959908
720969,1.08000000,7.72000000,81.00000000,85.00000000,18.18026543,5.08960009
720970,1.08000000,7.76000000,71.00000000,16.00000000,17.07396317,5.10239983
786440,1.12000000,5.12000000,222.00000000,28.00000000,105.24494171,74.95040131
786441,1.12000000,5.16000000,240.00000000,99.00000000,115.82226562,85.52159882
