Ref,x1,y1,x2,y2,Angular Connectivity,Angular Shortest Path Angle,Angular Shortest Path Order,Axial Line Ref,Connectivity,Segment Length
972,534061.547333,183793.467308,534182.120409,183731.115378,3.061933,-1,-1,307,5,135.74104
973,534182.120409,183731.115378,534200.235885,183721.747326,2.9380672,-1,-1,307,5,20.394382
974,534200.235885,183721.747326,534219.515086,183711.777477,4,-1,-1,307,5,21.704504
975,534002.66195,183820.687874,534057.614802,183795.285174,2.8657327,-1,-1,308,4,60.540176
976,534057.614802,183795.285174,534061.547333,183793.467308,3.9999998,-1,-1,308,6,4.3323708
977,534061.547333,183793.467308,534184.350718,183736.69978,4,6.0546875,57,308,6,135.28941
978,534184.350718,183736.69978,534200.053719,183729.440855,2.7092693,-1,-1,308,5,17.299603
979,534200.053719,183729.440855,534225.917548,183717.48495,2.5515666,-1,-1,308,4,28.49353
980,534225.917548,183717.48495,534270.990964,183696.649153,1.934917,-1,-1,308,4,49.65625
981,534270.990964,183696.649153,534360.540661,183655.253592,1.9227529,-1,-1,308,4,98.654655
982,534360.540661,183655.253592,534367.985895,183651.811932,1.6658194,-1,-1,308,4,8.2022266
983,534367.985895,183651.811932,534433.866116,183621.357908,2.3176184,-1,-1,308,3,72.578583
984,534200.053719,183729.440855,534200.235885,183721.747326,4,-1,-1,309,5,7.6956849
985,534200.235885,183721.747326,534200.865595,183695.152395,4,-1,-1,309,6,26.602385
986,534200.865595,183695.152395,534202.25682,183636.395884,2.7258317,-1,-1,309,5,58.77298
987,534202.25682,183636.395884,534202.392555,183630.663291,3.2741685,-1,-1,309,4,5.734199
988,534151.631874,183651.263011,534162.088736,183660.584777,3.3356996,-1,-1,310,4,14.008615
