Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration R500 metric,T1024 Node Count R500 metric,T1024 Total Depth R500 metric
96,531401.51399,183908.955152,531401.85296,183913.274241,4,26,5,4.3323708,47.834885,94,184.71875
97,531297.758244,183720.335774,531303.086878,183722.453957,3.2741685,27,4,5.734199,40.734692,79,153.21094
98,531303.086878,183722.453957,531357.702997,183744.164384,2.7258315,27,5,58.77298,41.834568,81,156.83203
99,531357.702997,183744.164384,531382.423865,183753.991164,4,27,6,26.602385,43.485157,83,158.42188
100,531382.423865,183753.991164,531389.575254,183756.833909,4,27,5,7.6956849,46.005672,80,139.11328
101,531299.446867,183775.091082,531311.820019,183768.52249,3.3356996,28,4,14.008615,40.271206,89,196.69141
102,531311.820019,183768.52249,531357.702997,183744.164384,2.6643004,28,5,51.947716,45.323353,87,167
103,531357.702997,183744.164384,531379.770132,183732.449503,3.2326641,28,5,24.983932,43.737617,87,173.05469
104,531379.770132,183732.449503,531387.345888,183728.427727,2.7673359,28,4,8.5771065,47.131241,81,139.20703
105,531304.31269,183959.573805,531306.49671,183903.993471,4,29,5,55.623226,49.479343,97,190.16016
106,531306.49671,183903.993471,531311.29242,183781.949157,2.6909027,29,5,122.1385,43.545513,96,211.64062
107,531311.29242,183781.949157,531311.820019,183768.52249,3.3090973,29,4,13.437029,45.604984,92,185.59375
108,531075.434914,183881.504842,531156.88079,183889.431752,2.9276934,30,4,81.830719,65.450096,128,250.32812
109,531156.88079,183889.431752,531168.490957,183890.561739,2.7533221,30,5,11.665026,68.815559,129,241.82031
110,531168.490957,183890.561739,531174.661661,183891.162317,3.2466779,30,5,6.1998625,63.583481,126,249.6875
111,531174.661661,183891.162317,531180.045933,183891.686354,4,30,6,5.4097123,80.206154,130,210.70703
112,531180.045933,183891.686354,531246.846002,183898.187827,3.0539846,30,5,67.115707,76.279305,122,195.125
113,531246.846002,183898.187827,531306.49671,183903.993471,2.9460154,30,5,59.932568,69.679367,111,176.82422
114,531306.49671,183903.993471,531401.85296,183913.274241,3.1116269,30,5,95.806824,66.671265,96,138.23047
115,531401.85296,183913.274241,531402.048405,183913.293264,2.8883731,30,4,0.19636907,67.177956,94,131.53125
116,531056.009523,183972.375108,531073.801917,183889.143858,2.9463861,31,4,85.111755,44.846958,104,241.17578
117,531073.801917,183889.143858,531075.434914,183881.504842,2.9276934,31,4,7.8116097,51.820114,124,296.71875
118,530986.848212,183887.403694,531004.835486,183965.872851,2.7760887,32,3,80.504349,40.253078,97,233.74609
119,531004.835486,183965.872851,531056.009523,183972.375108,1.7224751,33,2,51.585476,29.382586,87,257.60156
120,530712.688736,183881.917068,530813.405101,183883.932657,4,34,5,100.73653,49.640793,74,110.3125
121,530813.405101,183883.932657,530918.31369,183886.032144,4,34,6,104.9296,56.225758,88,137.73047
122,530918.31369,183886.032144,530986.848212,183887.403694,2.8438091,34,5,68.548241,68.76503,108,169.62109
123,530986.848212,183887.403694,531029.291446,183888.25309,2.1506054,34,4,42.451733,73.474251,111,167.69141
124,531029.291446,183888.25309,531073.801917,183889.143858,3.0055857,34,5,44.519382,78.242912,123,193.35938
125,531073.801917,183889.143858,531157.130183,183890.811468,3.1265831,34,5,83.344948,80.326027,128,203.96875
126,531157.130183,183890.811468,531168.634422,183891.041697,2.8734171,34,5,11.506542,80.734093,129,206.12109
127,531168.634422,183891.041697,531174.661661,183891.162317,4,34,6,6.0284462,76.179848,127,211.72266
128,531174.661661,183891.162317,531180.080455,183891.270761,4,34,5,5.419879,62.063431,129,268.12891
129,531246.846002,183898.187827,531247.100529,183877.364907,2,35,2,20.824474,44.13678,115,299.63672
130,531380.713483,184038.933676,531417.15255,184035.901078,2.315361,36,3,36.565041,40.301743,94,219.24609
131,531367.863502,184047.323233,531380.713483,184038.933676,0.87075675,37,2,15.346227,37.795601,92,223.94141
132,531360.813158,184105.802482,531367.863502,184047.323233,2.5553956,38,3,58.902714,38.299007,101,266.35156
133,531177.606206,183921.056404,531180.045933,183891.686354,4,39,5,29.471209,79.64357,135,228.83203
134,531180.045933,183891.686354,531180.080455,183891.270761,3.0400231,39,5,0.41702437,77.806992,131,220.55859
135,531180.080455,183891.270761,531191.965639,183748.193874,1.8690072,39,4,143.56969,69.178459,112,181.32812
136,531191.965639,183748.193874,531210.219332,183528.451248,3.0909696,39,5,220.49948,54.041306,83,127.47656
137,531210.219332,183528.451248,531210.6055,183523.802459,3.3558173,39,4,4.6648011,43.634018,65,96.828125
138,531204.529923,183526.934938,531210.219332,183528.451248,4,40,5,5.8880019,43.743427,65,96.585938
139,531210.219332,183528.451248,531294.100666,183550.806851,2.8008873,40,5,86.80928,41.682968,63,95.21875
140,531294.100666,183550.806851,531375.100124,183572.394391,1.9834378,40,3,83.826813,32.684452,52,82.730469
141,530912.566958,183677.466796,530942.320478,183662.126313,3.7738943,41,4,33.475399,30.012936,56,104.48828
142,530942.320478,183662.126313,531101.00503,183580.310867,1.4153167,41,4,178.53447,38.707626,62,99.308594
143,531101.00503,183580.310867,531204.529923,183526.934938,1.2796584,41,4,116.47486,42.897045,68,107.79297
144,531204.529923,183526.934938,531210.6055,183523.802459,2.8869476,41,3,6.8355722,31.453724,61,118.30078
145,531101.00503,183580.310867,531156.88079,183889.431752,3.9999998,42,5,314.13025,43.975971,89,180.12109
