Ref,x,y,Angular Step Depth,Connectivity,Point First Moment,Point Second Moment
589836,1.2,5.52,1.7374513,146,65.141716,38.141998
589837,1.2,5.58,1.684522,121,53.14904,30.632401
589838,1.2,5.64,1.6471169,111,45.477665,24.9984
589839,1.2,5.7,1.5982424,109,41.70174,21.5424
589840,1.2,5.76,1.5326186,108,38.9856,19.0404
589841,1.2,5.82,1.4422841,105,35.684307,16.452
589842,1.2,5.88,1.184522,108,35.718262,15.93
589843,1.2,5.94,0.94228411,230,278.32855,631.59479
589844,1.2,6,0.91955733,230,278.6875,632.14203
589845,1.2,6.06,1.184522,110,38.030186,18.3564
589846,1.2,6.12,1.3519497,107,38.561085,19.889999
589847,1.2,6.18,1.5190034,106,40.750961,22.662001
589848,1.2,6.24,1.5981703,106,43.925285,26.294399
589849,1.2,6.3,1.6471169,106,47.761196,30.697201
589850,1.2,6.36,1.6845219,105,51.250343,34.945202
589851,1.2,6.42,1.7161665,104,55.635754,40.507198
589852,1.2,6.48,1.8030751,92,57.394238,45.953999
589853,1.2,6.54,1.818735,93,59.157009,49.604401
589854,1.2,6.6,1.1483927,103,65.310448,56.919601
589855,1.2,6.66,1.0227268,195,282.12589,611.13599
589856,1.2,6.72,0.99590605,135,176.81017,357.59161
589857,1.2,6.78,1.1998979,63,46.027039,50.018398
589862,1.2,7.08,2.6177595,56,21.019369,9.7740002
589863,1.2,7.14,2.2527092,91,34.671635,16.999201
589864,1.2,7.2,2.0478764,59,18.499571,7.4664001
589865,1.2,7.26,1.9575419,53,13.908566,4.5071998
589866,1.2,7.32,1.8667685,55,14.38763,4.7124
589867,1.2,7.38,1.8783752,56,14.859816,5.0507998
589868,1.2,7.44,1.8578461,55,14.696407,5.1012001
589869,1.2,7.5,1.8658035,57,16.709593,6.7284002
589870,1.2,7.56,1.8726486,58,18.372242,8.1216002
589871,1.2,7.62,1.8785982,70,26.228809,13.572
589872,1.2,7.68,1.8838162,97,39.704243,21.243601
589873,1.2,7.74,1.8884294,65,29.483154,17.607599
655365,1.26,5.1,1.475836,99,45.318523,31.5648
655366,1.26,5.16,1.2441199,107,44.779747,28.5732
655367,1.26,5.22,1.1806688,120,52.115326,34.5816
655368,1.26,5.28,1.3366271,101,34.011791,17.1756
655369,1.26,5.34,1.5550029,92,26.100863,9.7812004
655370,1.26,5.4,1.6806688,84,22.154079,7.0092001
655371,1.26,5.46,1.7710032,77,22.193871,7.5348001
655373,1.26,5.58,1.8166182,100,45.400215,26.607599
655374,1.26,5.64,1.7863259,106,44.579544,24.2964
655375,1.26,5.7,1.7000463,104,40.012066,19.9692
655376,1.26,5.76,1.6471169,104,37.269123,17.3412
655377,1.26,5.82,1.56795,103,35.248875,15.7536
655378,1.26,5.88,1.3166182,101,32.400887,13.5576
655379,1.26,5.94,0.94228411,226,268.78516,601.01282
655380,1.26,6,0.91871643,225,268.51459,601.1676
655381,1.26,6.06,1.3166182,100,33.13113,15.2064
655382,1.26,6.12,1.56795,99,34.673462,17.0352
655383,1.26,6.18,1.6471169,97,35.487186,18.219601
655384,1.26,6.24,1.7000463,96,38.429726,21.571199
655385,1.26,6.3,1.7676716,96,42.966614,26.614799
655386,1.26,6.36,1.7882006,95,47.200668,31.464001
655390,1.26,6.6,1.2275596,53,26.022516,18.8244
655391,1.26,6.66,1.0227268,162,243.24532,548.5788
655392,1.26,6.72,0.99465042,103,95.898705,140.7204
655393,1.26,6.78,1.2649647,45,18.283974,10.9188
655395,1.26,6.9,1.6130612,36,14.515101,7.9271998
655396,1.26,6.96,1.7135347,44,16.566185,8.316
655398,1.26,7.08,1.8578461,64,21.482931,9.2376003
655399,1.26,7.14,1.8726486,97,37.43161,18.118799
655400,1.26,7.2,1.8838162,68,20.041071,7.6283998
655401,1.26,7.26,1.8925364,57,15.192017,5.3676
655402,1.26,7.32,1.8995321,57,14.755762,5.1479998
655403,1.26,7.38,1.9052672,55,14.167813,5.1408
655404,1.26,7.44,1.9100537,56,14.944987,5.8067999
655405,1.26,7.5,1.9141085,57,16.187033,6.8759999
655406,1.26,7.56,1.9175873,60,18.300798,8.4312
655407,1.26,7.62,1.9206045,74,25.843081,12.7944
655408,1.26,7.68,1.923246,97,39.629852,20.969999
655409,1.26,7.74,1.9255779,66,27.514166,15.9408
720901,1.32,5.1,1.5550029,87,33.765991,18.1908
720902,1.32,5.16,1.3063347,91,29.83559,13.1652
720903,1.32,5.22,1.1806688,106,38.546345,20.599199
720904,1.32,5.28,1.3855016,87,23.620955,8.1216002
720905,1.32,5.34,1.6806688,79,20.416594,6.4368
720906,1.32,5.4,1.8063347,77,21.133102,6.9875998
720907,1.32,5.46,1.8855016,73,22.179609,7.9956002
720909,1.32,5.58,1.9422841,89,40.862991,23.3316
720910,1.32,5.64,1.9422841,94,39.411312,20.656799
720911,1.32,5.7,1.9422841,99,39.298153,19.4832
720912,1.32,5.76,1.9422841,98,36.762032,17.334
720913,1.32,5.82,1.9422841,98,34.903992,15.5592
720914,1.32,5.88,1.6471169,99,34.057945,14.7564
720915,1.32,5.94,0.94228411,224,262.35757,573.84363
720916,1.32,6,0.9178108,224,262.78009,574.47717
720917,1.32,6.06,1.6471169,98,34.830383,16.4412
720918,1.32,6.12,1.8933375,96,35.736412,17.906401
720919,1.32,6.18,1.8933375,96,38.887508,21.743999
720920,1.32,6.24,1.8933375,96,41.457706,24.4944
720921,1.32,6.3,1.8933375,95,44.932056,28.670401
720922,1.32,6.36,1.8933375,95,49.328381,33.66
720926,1.32,6.6,1.317894,56,29.65251,22.546801
720927,1.32,6.66,1.0227268,181,249.15399,533.29321
720928,1.32,6.72,0.9932754,97,64.430847,59.608799
720929,1.32,6.78,1.3970609,54,24.484844,15.8436
720930,1.32,6.84,1.817894,55,25.752935,16.1532
720931,1.32,6.9,1.9629831,61,28.505531,17.247601
720932,1.32,6.96,1.7135347,82,37.344036,22.057199
720933,1.32,7.02,1.9629831,68,28.316906,16.2684
720934,1.32,7.08,1.9629831,69,23.126705,9.9108
720935,1.32,7.14,1.9629831,101,38.473366,18.216
720936,1.32,7.2,1.9629831,72,21.617157,8.3123999
720937,1.32,7.26,1.9629831,64,18.011038,6.7248001
720938,1.32,7.32,1.9629831,60,16.908792,6.5771999
720939,1.32,7.38,1.9629831,59,16.792269,6.9191999
720940,1.32,7.44,1.9629831,59,17.511274,7.8263998
720941,1.32,7.5,1.9629831,62,19.511091,9.3923998
720942,1.32,7.56,1.9629831,64,21.649683,11.2896
720943,1.32,7.62,1.9629831,78,29.534483,16.149599
720944,1.32,7.68,1.9629831,100,42.616943,23.8536
720945,1.32,7.74,1.9629831,69,30.333668,18.892799
786437,1.38,5.1,1.8855016,78,28.498459,13.05
786438,1.38,5.16,1.3366271,90,28.905073,11.7396
786439,1.38,5.22,1.1806688,104,37.122131,18.5256
786440,1.38,5.28,1.6806688,79,21.782454,7.4196
786441,1.38,5.34,1.8855016,75,21.029879,7.2467999
