Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Metric Shortest Path Distance,Metric Shortest Path Order,Segment Length
2753,534725.979462,185399.205212,534732.491723,185442.449034,3.081847,872,5,-1,-1,43.731426
2754,534732.491723,185442.449034,534744.894253,185524.806416,4,872,6,-1,-1,83.286018
2755,534744.894253,185524.806416,534769.397585,185687.517594,4,872,6,-1,-1,164.54587
2756,534769.397585,185687.517594,534771.08341,185698.712099,3.210762,872,4,-1,-1,11.320731
2757,534771.08341,185698.712099,534799.293153,185684.00661,3.210762,873,4,-1,-1,31.812592
2758,534799.293153,185684.00661,534839.557481,185663.017173,4,873,6,-1,-1,45.406746
2759,534839.557481,185663.017173,534917.551867,185622.359391,2.9727409,873,5,-1,-1,87.955551
2760,534917.551867,185622.359391,535027.268707,185565.164976,1.8853738,873,3,-1,-1,123.72948
2761,534943.900773,185248.802257,534964.620312,185327.428288,2.9276934,874,4,-1,-1,81.310219
2762,534964.620312,185327.428288,534967.725438,185339.211548,2.7533221,874,5,-1,-1,12.185525
2763,534967.725438,185339.211548,534969.305292,185345.206742,3.2466779,874,5,-1,-1,6.1998625
2764,534969.305292,185345.206742,534970.878586,185351.177041,4,874,6,-1,-1,6.1741171
2765,534970.878586,185351.177041,534987.786281,185415.337975,3.0539846,874,5,-1,-1,66.351303
2766,534987.786281,185415.337975,534997.034441,185450.43268,2.9460154,874,5,-1,-1,36.292793
2767,534997.034441,185450.43268,535027.268707,185565.164976,2.8581147,874,4,-1,-1,118.64911
2768,534851.940289,185262.144694,534936.170108,185249.92389,2.9463861,875,4,-1,-1,85.111755
2769,534936.170108,185249.92389,534943.900773,185248.802257,2.9276934,875,4,-1,-1,7.8116097
2770,534840.265374,185211.897728,534907.603438,185167.778164,2.7760887,876,3,-1,-1,80.504349
2771,534840.265374,185211.897728,534851.940289,185262.144694,1.7224751,877,2,-1,-1,51.585476
2772,534812.924145,184895.520344,534850.622633,185003.925337,4,878,5,-1,-1,114.7729
2773,534850.622633,185003.925337,534885.087973,185103.033159,4,878,6,-1,-1,104.9296
2774,534885.087973,185103.033159,534907.603438,185167.778164,2.8438091,878,5,-1,-1,68.548241
2775,534907.603438,185167.778164,534921.547201,185207.874561,2.1506054,878,4,-1,-1,42.451733
2776,534921.547201,185207.874561,534936.170108,185249.92389,3.0055857,878,5,-1,-1,44.519382
2777,534936.170108,185249.92389,534963.430069,185328.312073,3.1935487,878,5,-1,-1,82.992844
2778,534963.430069,185328.312073,534967.325179,185339.51277,2.8064513,878,5,-1,-1,11.858646
2779,534967.325179,185339.51277,534969.305292,185345.206742,4,878,6,-1,-1,6.0284462
2780,534969.305292,185345.206742,534971.339976,185351.057637,4,878,5,-1,-1,6.1945872
2781,534987.786281,185415.337975,535007.401499,185408.344979,2,879,2,-1,-1,20.824474
2782,534902.292389,185589.753258,534917.551867,185622.359391,2.315361,880,3,-1,-1,36.00016
2783,534889.962306,185580.616753,534902.292389,185589.753258,0.87075675,881,2,-1,-1,15.346227
2784,534832.674483,185594.314755,534889.962306,185580.616753,2.5553956,882,3,-1,-1,58.902714
2785,534941.840332,185358.691881,534970.878586,185351.177041,4,883,5,-1,-1,29.994883
2786,534970.878586,185351.177041,534971.339976,185351.057637,3.0518458,883,5,-1,-1,0.47659016
2787,534971.339976,185351.057637,535240.426207,185281.420525,2.9481544,883,4,-1,-1,277.95096
2788,535078.8908,185025.12408,535097.057821,185040.998858,3.8000021,884,4,-1,-1,24.125696
2789,535097.057821,185040.998858,535208.031717,185137.970504,2.1999979,884,5,-1,-1,147.37268
2790,535208.031717,185137.970504,535212.069087,185141.498455,4,884,6,-1,-1,5.3616042
2791,535212.069087,185141.498455,535213.425815,185142.683996,4,884,5,-1,-1,1.8017257
2792,534963.430069,185328.312073,534964.620312,185327.428288,4,885,5,-1,-1,1.4824823
2793,534964.620312,185327.428288,535209.717884,185145.437227,4,885,6,-1,-1,305.27621
2794,535209.717884,185145.437227,535213.425815,185142.683996,3.1361938,885,5,-1,-1,4.6183367
2795,535213.425815,185142.683996,535216.628534,185140.305897,2.863806,885,4,-1,-1,3.9890811
2796,534921.547201,185207.874561,534952.464842,185197.425921,2,886,2,-1,-1,32.635479
2797,534989.652127,184861.198592,534997.224973,184873.875757,3.2683804,887,4,-1,-1,14.766805
2798,534997.224973,184873.875757,534997.225255,184873.876229,2.4523828,887,4,-1,-1,0.0005490472
2799,534997.225255,184873.876229,535029.684356,184928.213712,1.3673773,887,4,-1,-1,63.294197
2800,535029.684356,184928.213712,535085.89327,185022.309075,2.0113289,887,4,-1,-1,109.60556
2801,535085.89327,185022.309075,535097.057821,185040.998858,2.9005306,887,4,-1,-1,21.770512
2802,534725.979462,185399.205212,534766.688208,185398.354031,3.1072955,888,3,-1,-1,40.717644
2803,534754.711702,185335.893285,534766.688208,185398.354031,1.1072954,889,1,-1,-1,63.598595
2804,534713.774484,185318.159645,534717.980565,185316.846303,3.0436037,890,4,-1,-1,4.4063578
2805,534717.980565,185316.846303,534804.514259,185289.826304,2.9563963,890,4,-1,-1,90.654068
2806,534746.594722,185158.70769,534804.514259,185289.826304,3.0721309,891,4,-1,-1,143.34143
