Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration,T1024 Integration R5 step,T1024 Node Count,T1024 Node Count R5 step,T1024 Total Depth,T1024 Total Depth R5 step
89,531402.048405,183913.293264,531417.15255,184035.901078,1.8853738,25,4,123.53465,109.2331,46.327854,178,60,290.05859,77.707031
90,531417.15255,184035.901078,531427.917161,184123.282742,2.9748278,25,5,88.042221,109.28609,45.218586,178,60,289.91797,79.613281
91,531427.917161,184123.282742,531433.414157,184167.904584,4,25,6,44.959156,113.6598,46.760277,178,58,278.76172,71.941406
92,531433.414157,184167.904584,531437.346019,184199.821447,3.2086754,25,4,32.158134,101.16245,30.802105,178,49,313.19922,77.949219
93,531375.100124,183572.394391,531387.345888,183728.427727,1.5234891,26,3,156.51314,104.36852,33.133068,178,45,303.57812,61.117188
94,531387.345888,183728.427727,531389.575254,183756.833909,2.5515666,26,4,28.49353,101.46744,34.117889,178,47,312.25781,64.746094
95,531389.575254,183756.833909,531401.51399,183908.955152,2.7092693,26,5,152.589,103.78361,40.135292,178,53,305.28906,69.988281
96,531401.51399,183908.955152,531401.85296,183913.274241,4,26,5,4.3323708,76.315384,31.029184,178,58,415.17188,108.41406
97,531297.758244,183720.335774,531303.086878,183722.453957,3.2741685,27,4,5.734199,80.218208,30.081535,178,42,394.97266,58.640625
98,531303.086878,183722.453957,531357.702997,183744.164384,2.7258315,27,5,58.77298,81.474419,33.111706,178,44,388.88281,58.46875
99,531357.702997,183744.164384,531382.423865,183753.991164,4,27,6,26.602385,82.973801,38.248493,178,47,381.85547,57.753906
100,531382.423865,183753.991164,531389.575254,183756.833909,4,27,5,7.6956849,82.114479,36.290775,178,41,385.85156,46.320312
101,531299.446867,183775.091082,531311.820019,183768.52249,3.3356996,28,4,14.008615,70.869667,28.188873,178,48,447.07422,81.734375
102,531311.820019,183768.52249,531357.702997,183744.164384,2.6643004,28,5,51.947716,75.637886,32.824703,178,47,418.89062,67.296875
103,531357.702997,183744.164384,531379.770132,183732.449503,3.2326641,28,5,24.983932,76.392288,34.866234,178,43,414.75391,53.03125
