Ref,x1,y1,x2,y2,Connectivity,Data Map Ref,Line Length
40,530918.31369,183886.032144,530922.424921,184035.240495,5,40,149.26498
41,530922.424921,184035.240495,530924.739254,184119.234229,4,41,84.025612
42,530924.739254,184119.234229,530930.06091,184312.372373,3,42,193.21144
43,530930.06091,184312.372373,530931.972172,184381.737517,3,43,69.391472
44,530997.74097,184191.579226,531069.101814,184204.96794,1,44,72.605972
45,531069.101814,184204.96794,531176.603948,184225.137479,2,45,109.37788
46,531176.603948,184225.137479,531408.976546,184268.735201,4,46,236.42712
47,530997.74097,184191.579226,531002.805399,184117.948843,0,47,73.804344
48,531065.907547,184257.768052,531065.977455,184256.612488,3,48,1.1576769
49,531065.977455,184256.612488,531069.101814,184204.96794,2,49,51.738968
50,531014.260003,184282.658893,531065.907547,184257.768052,1,50,57.332561
51,531065.907547,184257.768052,531067.505019,184256.998171,3,51,1.773312
52,531065.977455,184256.612488,531067.505019,184256.998171,4,52,1.5755012
53,531067.505019,184256.998171,531158.779512,184280.043406,2,53,94.138809
54,531158.779512,184280.043406,531391.966563,184338.919115,2,54,240.50478
55,531102.93655,184452.060599,531122.455508,184391.934911,3,55,63.214619
56,531122.455508,184391.934911,531139.683702,184338.865635,3,56,55.795689
57,531139.683702,184338.865635,531158.779512,184280.043406,3,57,61.844196
58,531158.779512,184280.043406,531176.603948,184225.137479,2,58,57.726696
59,531176.603948,184225.137479,531200.805668,184150.587138,5,59,78.380333
60,531200.805668,184150.587138,531224.447434,184077.761662,5,60,76.566856
61,531224.447434,184077.761662,531226.686905,184070.863256,3,61,7.2528086
62,531222.022192,184069.648122,531226.686905,184070.863256,3,62,4.8203835
63,531226.686905,184070.863256,531282.101437,184085.298468,4,63,57.263824
64,531282.101437,184085.298468,531360.813158,184105.802482,4,64,81.338486
65,531360.813158,184105.802482,531427.917161,184123.282742,3,65,69.343399
66,531427.917161,184123.282742,531443.26017,184127.27952,3,66,15.855036
67,531168.490957,183890.561739,531168.634422,183891.041697,5,67,0.50094116
68,531168.634422,183891.041697,531177.606206,183921.056404,4,68,31.326914
69,531177.606206,183921.056404,531183.34523,183940.256055,3,69,20.039038
70,531183.34523,183940.256055,531206.527247,184017.810468,3,70,80.945
71,531206.527247,184017.810468,531222.022192,184069.648122,3,71,54.103935
72,531222.022192,184069.648122,531224.447434,184077.761662,4,72,8.468255
73,531103.958023,183944.145791,531183.34523,183940.256055,0,73,79.482445
74,531275.708412,184523.127156,531297.510832,184441.573404,2,74,84.41777
75,531340.829339,184549.913463,531374.160466,184412.387824,2,75,141.50713
76,531374.160466,184412.387824,531391.966563,184338.919115,3,76,75.595688
77,531391.966563,184338.919115,531408.976546,184268.735201,3,77,72.215797
78,531408.976546,184268.735201,531426.238998,184197.509594,3,78,73.287651
79,531426.238998,184197.509594,531433.414157,184167.904584,5,79,30.462101
80,531433.414157,184167.904584,531443.26017,184127.27952,4,80,41.801193
81,531040.97912,184117.3203,531060.553704,184121.39462,2,81,19.99411
82,531060.553704,184121.39462,531140.793407,184138.095983,4,82,81.959412
83,531140.793407,184138.095983,531200.805668,184150.587138,5,83,61.298454
84,531200.805668,184150.587138,531426.238998,184197.509594,4,84,230.26486
85,531426.238998,184197.509594,531437.346019,184199.821447,3,85,11.345068
86,531379.770132,183732.449503,531382.423865,183753.991164,4,86,21.704504
87,531382.423865,183753.991164,531401.51399,183908.955152,6,87,156.13542
88,531401.51399,183908.955152,531402.048405,183913.293264,5,88,4.3709054
89,531402.048405,183913.293264,531417.15255,184035.901078,3,89,123.53465
90,531417.15255,184035.901078,531427.917161,184123.282742,2,90,88.042221
91,531427.917161,184123.282742,531433.414157,184167.904584,5,91,44.959156
92,531433.414157,184167.904584,531437.346019,184199.821447,4,92,32.158134
93,531375.100124,183572.394391,531387.345888,183728.427727,1,93,156.51314
94,531387.345888,183728.427727,531389.575254,183756.833909,2,94,28.49353
95,531389.575254,183756.833909,531401.51399,183908.955152,5,95,152.589
96,531401.51399,183908.955152,531401.85296,183913.274241,4,96,4.3323708
97,531297.758244,183720.335774,531303.086878,183722.453957,2,97,5.734199
98,531303.086878,183722.453957,531357.702997,183744.164384,3,98,58.77298
99,531357.702997,183744.164384,531382.423865,183753.991164,5,99,26.602385
100,531382.423865,183753.991164,531389.575254,183756.833909,5,100,7.6956849
101,531299.446867,183775.091082,531311.820019,183768.52249,2,101,14.008615
