Ref,x,y,Connectivity,Metric Step Shortest-Path Angle,Metric Step Shortest-Path Length,Metric Straight-Line Distance,Point First Moment,Point Second Moment
524308,1.14000000,6.00000000,223.00000000,3.16487789,2.62382197,2.12132025,281.46319580,658.58398438
524309,1.14000000,6.06000000,105.00000000,3.29967475,2.63414025,2.15081382,34.41274643,15.50879955
524310,1.14000000,6.12000000,100.00000000,3.46917605,2.66073680,2.18155909,33.35061646,15.75720024
524311,1.14000000,6.18000000,98.00000000,3.59484196,2.69896197,2.21350408,34.22094345,16.92359924
524312,1.14000000,6.24000000,97.00000000,3.68517637,2.74440360,2.24659753,36.67174530,19.74600029
524313,1.14000000,6.30000000,100.00000000,3.75080013,2.79426074,2.28078938,42.55854416,25.34399986
524314,1.14000000,6.36000000,102.00000000,3.79967475,2.84689569,2.31603098,47.50336075,29.91239929
524317,1.14000000,6.54000000,23.00000000,4.59484196,3.02606297,2.42759132,5.49512815,1.93320000
524318,1.14000000,6.60000000,37.00000000,3.90929484,3.07082200,2.46657658,20.82320213,14.65200043
524321,1.14000000,6.78000000,22.00000000,3.58782005,3.16086102,2.58835864,8.02217197,4.05000019
524327,1.14000000,7.14000000,54.00000000,4.90728760,3.43849182,2.85047364,20.28432274,10.84319973
524336,1.14000000,7.68000000,56.00000000,4.77311754,3.93176794,3.27865815,18.96199799,8.70839977
589829,1.20000000,5.10000000,114.00000000,1.38550162,2.02449703,1.80399561,61.30465698,52.44120026
589830,1.20000000,5.16000000,123.00000000,1.22954333,2.00967813,1.80897760,62.46260834,50.47919846
589831,1.20000000,5.22000000,137.00000000,1.18066883,2.00737381,1.81592953,72.26356506,59.63040161
589832,1.20000000,5.28000000,129.00000000,1.30633473,2.01331520,1.82482874,61.13722610,46.22040176
589833,1.20000000,5.34000000,132.00000000,1.47583604,2.03570199,1.83564699,61.34249496,43.91279984
589834,1.20000000,5.40000000,140.00000000,1.59033442,2.06737375,1.84835064,63.49271774,41.79959869
589835,1.20000000,5.46000000,153.00000000,1.68066919,2.10678530,1.86290097,69.21115112,42.62760162
589836,1.20000000,5.52000000,146.00000000,2.18066931,2.16678524,1.87925518,65.14171600,38.14199829
589837,1.20000000,5.58000000,121.00000000,2.18066931,2.22678518,1.89736664,53.14904022,30.63240051
589838,1.20000000,5.64000000,111.00000000,2.18066931,2.28678513,1.91718543,45.47766495,24.99839973
589839,1.20000000,5.70000000,109.00000000,2.18066931,2.34678531,1.93865931,41.70174026,21.54240036
589840,1.20000000,5.76000000,108.00000000,2.18066931,2.40678525,1.96173394,38.98559952,19.04039955
589841,1.20000000,5.82000000,105.00000000,2.18066931,2.46678519,1.98635340,35.68430710,16.45199966
589842,1.20000000,5.88000000,108.00000000,2.18066931,2.52678514,2.01246119,35.71826172,15.93000031
589843,1.20000000,5.94000000,230.00000000,3.21027374,2.56168199,2.03999996,278.32855225,631.59478760
589844,1.20000000,6.00000000,230.00000000,3.16139936,2.56398606,2.06891274,278.68750000,632.14202881
589845,1.20000000,6.06000000,110.00000000,3.39000916,2.57856774,2.09914279,38.03018570,18.35639954
589846,1.20000000,6.12000000,107.00000000,3.59484196,2.61410904,2.13063359,38.56108475,19.88999939
589847,1.20000000,6.18000000,106.00000000,3.72050786,2.66073680,2.16333079,40.75096130,22.66200066
589848,1.20000000,6.24000000,106.00000000,3.79967475,2.71273184,2.19718003,43.92528534,26.29439926
589849,1.20000000,6.30000000,106.00000000,3.85260415,2.76751351,2.23212910,47.76119614,30.69720078
589850,1.20000000,6.36000000,105.00000000,3.89000916,2.82387686,2.26812696,51.25034332,34.94520187
589851,1.20000000,6.42000000,104.00000000,3.91767097,2.88121009,2.30512476,55.63575363,40.50719833
589852,1.20000000,6.48000000,92.00000000,4.09484196,2.94121003,2.34307480,57.39423752,45.95399857
589853,1.20000000,6.54000000,93.00000000,4.09484196,3.00121021,2.38193202,59.15700912,49.60440063
589854,1.20000000,6.60000000,103.00000000,4.09484196,3.06121016,2.42165232,65.31044769,56.91960144
589855,1.20000000,6.66000000,195.00000000,3.73220468,3.08409667,2.46219420,282.12588501,611.13598633
589856,1.20000000,6.72000000,135.00000000,3.62706780,3.09029245,2.50351763,176.81016541,357.59161377
589857,1.20000000,6.78000000,63.00000000,3.65804386,3.10310864,2.54558444,46.02703857,50.01839828
589862,1.20000000,7.08000000,56.00000000,5.20245457,3.36432767,2.76586342,21.01936913,9.77400017
589863,1.20000000,7.14000000,91.00000000,4.70245457,3.38918066,2.81168985,34.67163467,16.99920082
589864,1.20000000,7.20000000,59.00000000,4.49762201,3.43849182,2.85804129,18.49957085,7.46640015
589865,1.20000000,7.26000000,53.00000000,4.40728760,3.49406433,2.90489244,13.90856647,4.50719976
589866,1.20000000,7.32000000,55.00000000,4.35841322,3.55171394,2.95221949,14.38762951,4.71239996
589867,1.20000000,7.38000000,56.00000000,4.32812071,3.61026883,3.00000000,14.85981560,5.05079985
589868,1.20000000,7.44000000,55.00000000,4.33928823,3.66920710,3.04821253,14.69640732,5.10120010
589869,1.20000000,7.50000000,57.00000000,4.34864950,3.72831798,3.09683704,16.70959282,6.72840023
589870,1.20000000,7.56000000,58.00000000,4.35660696,3.78756332,3.14585447,18.37224197,8.12160015
589871,1.20000000,7.62000000,70.00000000,4.36345196,3.84691501,3.19524646,26.22880936,13.57199955
589872,1.20000000,7.68000000,97.00000000,4.36940193,3.90635157,3.24499607,39.70424271,21.24360085
589873,1.20000000,7.74000000,65.00000000,4.37461996,3.96585751,3.29508734,29.48315430,17.60759926
655365,1.26000000,5.10000000,99.00000000,1.47583604,1.96892440,1.74413300,45.31852341,31.56480026
655366,1.26000000,5.16000000,107.00000000,1.24411988,1.95036650,1.74928558,44.77974701,28.57320023
655367,1.26000000,5.22000000,120.00000000,1.18066883,1.94737387,1.75647378,52.11532593,34.58160019
655368,1.26000000,5.28000000,101.00000000,1.33662713,1.95476031,1.76567268,34.01179123,17.17560005
655369,1.26000000,5.34000000,92.00000000,1.55500293,1.98370695,1.77685118,26.10086250,9.78120041
655370,1.26000000,5.40000000,84.00000000,1.68066883,2.02193236,1.78997207,22.15407944,7.00920010
655371,1.26000000,5.46000000,77.00000000,1.77100325,2.06737375,1.80499303,22.19387054,7.53480005
655373,1.26000000,5.58000000,100.00000000,2.68066931,2.25163817,1.84054339,45.40021515,26.60759926
655374,1.26000000,5.64000000,106.00000000,2.47583652,2.30094934,1.86096752,44.57954407,24.29640007
655375,1.26000000,5.70000000,104.00000000,2.38550210,2.35652184,1.88308263,40.01206589,19.96920013
655376,1.26000000,5.76000000,104.00000000,2.30633497,2.41272640,1.90682983,37.26912308,17.34119987
655377,1.26000000,5.82000000,103.00000000,2.28580618,2.47175097,1.93214905,35.24887466,15.75360012
655378,1.26000000,5.88000000,101.00000000,3.71027374,2.52653480,1.95897937,32.40088654,13.55760002
655379,1.26000000,5.94000000,226.00000000,3.21027374,2.50168180,1.98725939,268.78515625,601.01281738
655380,1.26000000,6.00000000,225.00000000,3.15734434,2.50417757,2.01692843,268.51458740,601.16760254
655381,1.26000000,6.06000000,100.00000000,3.59484196,2.52925634,2.04792571,33.13113022,15.20639992
655382,1.26000000,6.12000000,99.00000000,3.79967475,2.57856774,2.08019233,34.67346191,17.03520012
655383,1.26000000,6.18000000,97.00000000,3.89000916,2.63414025,2.11366987,35.48718643,18.21960068
655384,1.26000000,6.24000000,96.00000000,3.93888378,2.69178987,2.14830160,38.42972565,21.57119942
655385,1.26000000,6.30000000,96.00000000,3.96917605,2.75034451,2.18403292,42.96661377,26.61479950
655386,1.26000000,6.36000000,95.00000000,3.98970509,2.80936933,2.22081065,47.20066833,31.46400070
655390,1.26000000,6.60000000,53.00000000,3.93703747,3.03383327,2.37739348,26.02251625,18.82439995
655391,1.26000000,6.66000000,162.00000000,3.73220468,3.02409673,2.41867733,243.24531555,548.57879639
655392,1.26000000,6.72000000,103.00000000,3.61770630,3.03118157,2.46073151,95.89870453,140.72039795
655393,1.26000000,6.78000000,45.00000000,3.74895382,3.04769778,2.50351763,18.28397369,10.91880035
655395,1.26000000,6.90000000,36.00000000,4.07945251,3.12986684,2.59113884,14.51510143,7.92719984
655396,1.26000000,6.96000000,44.00000000,4.24895382,3.18812323,2.63590598,16.56618500,8.31599998
655398,1.26000000,7.08000000,64.00000000,4.32812071,3.30432773,2.72719646,21.48293114,9.23760033
655399,1.26000000,7.14000000,97.00000000,4.34864950,3.36335254,2.77366185,37.43161011,18.11879921
655400,1.26000000,7.20000000,68.00000000,4.36345196,3.42265058,2.82063818,20.04107094,7.62839985
655401,1.26000000,7.26000000,57.00000000,4.37461996,3.48212218,2.86810040,15.19201660,5.36759996
655402,1.26000000,7.32000000,57.00000000,4.38333988,3.54170966,2.91602468,14.75576210,5.14799976
655403,1.26000000,7.38000000,55.00000000,4.39033556,3.60137916,2.96438861,14.16781330,5.14080000
655404,1.26000000,7.44000000,56.00000000,4.39607096,3.66110826,3.01317120,14.94498730,5.80679989
655405,1.26000000,7.50000000,57.00000000,4.40085745,3.72088242,3.06235194,16.18703270,6.87599993
655406,1.26000000,7.56000000,60.00000000,4.40491199,3.78069067,3.11191249,18.30079842,8.43120003
655407,1.26000000,7.62000000,74.00000000,4.40839100,3.84052682,3.16183496,25.84308052,12.79440022
655408,1.26000000,7.68000000,97.00000000,4.41140795,3.90038443,3.21210217,39.62985229,20.96999931
655409,1.26000000,7.74000000,66.00000000,4.66365862,3.94250011,3.26269817,27.51416588,15.94079971
720901,1.32000000,5.10000000,87.00000000,1.68066883,1.91961312,1.68428028,33.76599121,18.19079971
720902,1.32000000,5.16000000,91.00000000,1.30633473,1.89331508,1.68961537,29.83559036,13.16520023
720903,1.32000000,5.22000000,106.00000000,1.18066883,1.88737392,1.69705629,38.54634476,20.59919930
720904,1.32000000,5.28000000,87.00000000,1.38550162,1.89711058,1.70657551,23.62095451,8.12160015
720905,1.32000000,5.34000000,79.00000000,1.68066943,1.93707967,1.71813858,20.41659355,6.43680000
720906,1.32000000,5.40000000,77.00000000,1.80633473,1.98370695,1.73170435,21.13310242,6.98759985
