Ref,x1,y1,x2,y2,Angular Connectivity,Axial Choice,Axial Choice [Line Length Wgt],Axial Choice [Line Length Wgt][Norm],Axial Choice [Norm],Axial Connectivity,Axial Integration [HH],Axial Line Length,Axial Line Ref,Axial Mean Depth,Axial Mean Depth [Line Length Wgt],Axial Node Count,Axial RA,Axial Total Depth,Axial Total Line Length,Connectivity,Segment Length
44,530837.552389,183968.504198,530852.420354,184120.424984,4,59,3421053,0.035960544,0.033333335,3,1.2914991,186.65433,8,3.6833334,3.1525366,61,0.09096045,221,13793.731,6,152.64659
45,530852.420354,184120.424984,530855.397836,184150.848882,4,59,3421053,0.035960544,0.033333335,3,1.2914991,186.65433,8,3.6833334,3.1525366,61,0.09096045,221,13793.731,6,30.569248
46,530855.397836,184150.848882,530855.674498,184153.675814,2,59,3421053,0.035960544,0.033333335,3,1.2914991,186.65433,8,3.6833334,3.1525366,61,0.09096045,221,13793.731,3,2.8404379
47,530776.925919,183970.168342,530781.008068,183970.056291,2,52,2569898.8,0.0270136,0.029378532,3,1.2525985,61.209644,9,3.7666667,3.4303253,61,0.093785308,226,13793.731,3,4.0836859
48,530781.008068,183970.056291,530817.267644,183969.060997,4,52,2569898.8,0.0270136,0.029378532,3,1.2525985,61.209644,9,3.7666667,3.4303253,61,0.093785308,226,13793.731,6,36.273235
49,530817.267644,183969.060997,530837.552389,183968.504198,4,52,2569898.8,0.0270136,0.029378532,3,1.2525985,61.209644,9,3.7666667,3.4303253,61,0.093785308,226,13793.731,6,20.292385
50,530837.552389,183968.504198,530838.112518,183968.488823,2,52,2569898.8,0.0270136,0.029378532,3,1.2525985,61.209644,9,3.7666667,3.4303253,61,0.093785308,226,13793.731,3,0.56033993
51,530803.879024,183673.983124,530804.10279,183678.914813,2,180,7690898.5,0.08084321,0.10169491,5,1.5752376,297.2305,10,3.2,2.7956841,61,0.074576274,192,13793.731,3,4.9367628
52,530804.10279,183678.914813,530806.987301,183742.48786,4,180,7690898.5,0.08084321,0.10169491,5,1.5752376,297.2305,10,3.2,2.7956841,61,0.074576274,192,13793.731,6,63.638454
53,530806.987301,183742.48786,530810.256885,183814.547701,4,180,7690898.5,0.08084321,0.10169491,5,1.5752376,297.2305,10,3.2,2.7956841,61,0.074576274,192,13793.731,6,72.13398
54,530810.256885,183814.547701,530813.405101,183883.932657,4,180,7690898.5,0.08084321,0.10169491,5,1.5752376,297.2305,10,3.2,2.7956841,61,0.074576274,192,13793.731,6,69.456345
55,530813.405101,183883.932657,530817.267644,183969.060997,4,180,7690898.5,0.08084321,0.10169491,5,1.5752376,297.2305,10,3.2,2.7956841,61,0.074576274,192,13793.731,6,85.215919
56,530817.267644,183969.060997,530817.351454,183970.908131,2,180,7690898.5,0.08084321,0.10169491,5,1.5752376,297.2305,10,3.2,2.7956841,61,0.074576274,192,13793.731,3,1.8490347
57,530803.31836,183742.403539,530806.987301,183742.48786,2,6,2027136.2,0.021308329,0.0033898305,2,1.3328934,113.12737,11,3.5999999,2.9800205,61,0.088135593,216,13793.731,3,3.6699102
58,530806.987301,183742.48786,530914.42656,183744.957076,4,6,2027136.2,0.021308329,0.0033898305,2,1.3328934,113.12737,11,3.5999999,2.9800205,61,0.088135593,216,13793.731,6,107.46763
59,530914.42656,183744.957076,530916.415863,183745.002795,2,6,2027136.2,0.021308329,0.0033898305,2,1.3328934,113.12737,11,3.5999999,2.9800205,61,0.088135593,216,13793.731,3,1.9898283
60,530912.186147,183663.646083,530912.244928,183665.779416,2,518,34729020,0.36505559,0.29265538,9,2.0587263,755.56042,12,2.6833334,2.0483947,61,0.057062145,161,13793.731,3,2.1341424
61,530912.244928,183665.779416,530912.566958,183677.466796,4,518,34729020,0.36505559,0.29265538,9,2.0587263,755.56042,12,2.6833334,2.0483947,61,0.057062145,161,13793.731,6,11.691815
62,530912.566958,183677.466796,530914.42656,183744.957076,4,518,34729020,0.36505559,0.29265538,9,2.0587263,755.56042,12,2.6833334,2.0483947,61,0.057062145,161,13793.731,6,67.515892
63,530914.42656,183744.957076,530916.388132,183816.148133,4,518,34729020,0.36505559,0.29265538,9,2.0587263,755.56042,12,2.6833334,2.0483947,61,0.057062145,161,13793.731,6,71.218079
64,530916.388132,183816.148133,530918.31369,183886.032144,4,518,34729020,0.36505559,0.29265538,9,2.0587263,755.56042,12,2.6833334,2.0483947,61,0.057062145,161,13793.731,6,69.910538
65,530918.31369,183886.032144,530922.424921,184035.240495,4,518,34729020,0.36505559,0.29265538,9,2.0587263,755.56042,12,2.6833334,2.0483947,61,0.057062145,161,13793.731,6,149.26498
66,530922.424921,184035.240495,530924.739254,184119.234229,4,518,34729020,0.36505559,0.29265538,9,2.0587263,755.56042,12,2.6833334,2.0483947,61,0.057062145,161,13793.731,6,84.025612
67,530924.739254,184119.234229,530930.06091,184312.372373,4,518,34729020,0.36505559,0.29265538,9,2.0587263,755.56042,12,2.6833334,2.0483947,61,0.057062145,161,13793.731,6,193.21144
68,530930.06091,184312.372373,530931.972172,184381.737517,4,518,34729020,0.36505559,0.29265538,9,2.0587263,755.56042,12,2.6833334,2.0483947,61,0.057062145,161,13793.731,6,69.391472
69,530931.972172,184381.737517,530932.996681,184418.919889,2,518,34729020,0.36505559,0.29265538,9,2.0587263,755.56042,12,2.6833334,2.0483947,61,0.057062145,161,13793.731,3,37.196484
70,530995.213912,184191.1051,530997.74097,184191.579226,2,126,7918048.5,0.083230905,0.071186438,4,1.5633937,439.18533,13,3.2166667,2.7363062,61,0.075141244,193,13793.731,3,2.571151
71,530997.74097,184191.579226,531069.101814,184204.96794,4,126,7918048.5,0.083230905,0.071186438,4,1.5633937,439.18533,13,3.2166667,2.7363062,61,0.075141244,193,13793.731,6,72.605972
72,531069.101814,184204.96794,531176.603948,184225.137479,4,126,7918048.5,0.083230905,0.071186438,4,1.5633937,439.18533,13,3.2166667,2.7363062,61,0.075141244,193,13793.731,6,109.37788
73,531176.603948,184225.137479,531408.976546,184268.735201,4,126,7918048.5,0.083230905,0.071186438,4,1.5633937,439.18533,13,3.2166667,2.7363062,61,0.075141244,193,13793.731,6,236.42712
74,531408.976546,184268.735201,531426.867596,184272.091918,2,126,7918048.5,0.083230905,0.071186438,4,1.5633937,439.18533,13,3.2166667,2.7363062,61,0.075141244,193,13793.731,3,18.20322
75,530992.995991,184260.565217,530997.74097,184191.579226,2,36,4887256,0.051372603,0.020338982,2,1.3679695,193.93173,14,3.5333333,2.9841175,61,0.085875705,212,13793.731,3,69.148979
76,530997.74097,184191.579226,531002.805399,184117.948843,4,36,4887256,0.051372603,0.020338982,2,1.3679695,193.93173,14,3.5333333,2.9841175,61,0.085875705,212,13793.731,6,73.804344
77,531002.805399,184117.948843,531006.303519,184067.090599,2,36,4887256,0.051372603,0.020338982,2,1.3679695,193.93173,14,3.5333333,2.9841175,61,0.085875705,212,13793.731,3,50.978405
78,531065.503058,184264.454104,531065.907547,184257.768052,2,11,1241007,0.013044897,0.0062146895,3,1.1060178,64.308983,15,4.1333332,3.658536,61,0.10621469,248,13793.731,3,6.698276
