Ref,x,y,Connectivity,Gate Counts,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
6291462,4.48000000,5.04000000,114.00000000,7.00000000,0.18878041,0.28818133,128.35729980,0.23731166,0.72423458,0.06378300,1.19017673,2.86913157,31.88082886,11.32479954
6291463,4.48000000,5.08000000,119.00000000,14.00000000,0.19253013,0.30964905,135.90138245,0.20582488,0.68302989,0.06378300,1.07553482,2.79524183,30.85104942,10.29119968
6291464,4.48000000,5.12000000,122.00000000,46.00000000,0.19704893,0.18215182,146.61929321,0.18117799,1.09656751,0.06378300,1.91141641,3.68701768,29.63175964,9.38399982
6291465,4.48000000,5.16000000,188.00000000,197.00000000,0.29925257,0.09274096,154.84996033,0.20321660,1.79809523,0.06378300,4.38697624,6.36778021,78.62423706,57.79679871
6291466,4.48000000,5.20000000,202.00000000,326.00000000,0.32231107,0.18468834,152.54985046,0.03200599,0.94131303,0.06869335,2.52034259,4.68298531,72.78446198,36.59840012
6291467,4.48000000,5.24000000,201.00000000,195.00000000,0.30925688,0.18504573,216.29939270,0.06949046,0.94399899,0.06410009,2.23174262,4.58273840,71.29519653,35.87519836
6291468,4.48000000,5.28000000,126.00000000,64.00000000,0.21010606,0.19064765,203.86306763,0.20291893,0.95252997,0.06378300,1.91311753,3.72141838,33.01773453,12.84959984
6291469,4.48000000,5.32000000,116.00000000,23.00000000,0.19271715,0.26836652,219.39891052,0.19512911,0.66319203,0.06378300,1.29393578,3.00400710,27.76157379,8.66880035
6291470,4.48000000,5.36000000,115.00000000,9.00000000,0.19067307,0.27081239,228.85179138,0.22410461,0.70297116,0.06378300,1.29761434,2.97450948,29.87353134,10.10239983
6291471,4.48000000,5.40000000,113.00000000,1.00000000,0.18714745,0.26988566,235.54377747,0.25570005,0.73250234,0.04413000,1.30158818,2.95193624,31.71597481,11.37919998
6291472,4.48000000,5.44000000,108.00000000,1.00000000,0.18054132,0.26757059,240.53291321,0.28537187,0.75659877,0.00413000,1.28443253,2.91188383,32.54721069,12.18719959
6291483,4.48000000,5.88000000,174.00000000,24.00000000,0.28483397,0.16097336,147.16436768,0.28381068,1.22410071,0.03851700,2.88178229,4.71545744,76.61283875,45.46720123
6291484,4.48000000,5.92000000,284.00000000,111.00000000,0.43059155,0.06528230,173.75352478,0.73592216,3.49843860,0.07851700,6.72692966,9.10416126,268.90042114,467.28961182
6291485,4.48000000,5.96000000,326.00000000,229.00000000,0.49642989,0.07495756,178.75195312,0.95050859,3.49753594,0.11851700,6.34930611,9.12275887,370.31881714,752.07843018
6291486,4.48000000,6.00000000,330.00000000,250.00000000,0.49676168,0.07465760,182.08216858,0.95080125,3.49785972,0.11496700,6.38484573,9.14412117,371.98257446,752.77282715
6291487,4.48000000,6.04000000,229.00000000,99.00000000,0.38581765,0.07319672,190.19906616,0.53533804,3.01136875,0.07496700,5.96995163,8.13860893,144.99200439,148.84640503
6291488,4.48000000,6.08000000,169.00000000,35.00000000,0.28011534,0.15494181,214.54255676,0.29078284,1.22671330,0.03496700,2.95197845,4.76638412,74.35736847,43.99679947
6291499,4.48000000,6.52000000,314.00000000,7.00000000,0.50040728,0.22988817,162.88723755,0.59332132,1.84109032,0.02030100,2.21064925,5.23008108,204.57844543,193.60000610
6291500,4.48000000,6.56000000,318.00000000,12.00000000,0.51153487,0.21739700,166.39193726,0.56856519,1.82924652,0.06030100,2.31966949,5.43770647,202.94313049,191.96319580
6291501,4.48000000,6.60000000,361.00000000,39.00000000,0.57691693,0.11661223,171.83966064,0.67952144,2.97742510,0.10030100,4.56884575,7.88477898,278.01318359,371.02719116
6291502,4.48000000,6.64000000,406.00000000,262.00000000,0.66906911,0.11118723,176.64210510,0.86573642,3.31518912,0.13091300,5.29034805,8.69586849,377.67077637,643.43200684
6291503,4.48000000,6.68000000,431.00000000,385.00000000,0.68615055,0.10699336,179.90290833,0.88896954,3.31447577,0.13525660,5.43292379,8.97710323,422.06060791,738.32482910
6291504,4.48000000,6.72000000,400.00000000,151.00000000,0.67778134,0.10622700,183.11216736,0.87590915,3.31522179,0.13091300,5.56791496,8.95431328,358.49642944,587.50720215
6291505,4.48000000,6.76000000,367.00000000,46.00000000,0.58776993,0.10987303,187.85453796,0.69156688,2.97751689,0.10589000,4.88553381,8.19904137,283.78668213,383.74719238
6291506,4.48000000,6.80000000,323.00000000,19.00000000,0.52201998,0.12192246,193.65354919,0.56448722,2.56184340,0.06589000,4.13303471,7.33510971,204.91854858,191.63200378
6291507,4.48000000,6.84000000,322.00000000,21.00000000,0.51298934,0.16884835,197.39979553,0.58592999,1.84026778,0.02589000,3.05873442,6.17889309,209.15438843,195.69439697
6356997,4.52000000,5.00000000,112.00000000,2.00000000,0.18227285,0.39430034,130.37268066,0.29368514,0.77998751,0.02378300,0.80019307,2.41019583,37.03714752,14.98880005
6356998,4.52000000,5.04000000,113.00000000,6.00000000,0.18413875,0.40168551,136.76271057,0.26508287,0.74581903,0.02378300,0.78550750,2.40012813,34.33386612,12.97119999
6356999,4.52000000,5.08000000,112.00000000,10.00000000,0.18595004,0.41224062,144.60488892,0.23982508,0.70870608,0.02378300,0.75398964,2.38082600,30.94130516,10.75520039
6357000,4.52000000,5.12000000,133.00000000,51.00000000,0.21356289,0.09859725,159.52314758,0.32287496,1.84734845,0.02378300,3.43989515,5.21717548,50.80901718,37.51039886
6357001,4.52000000,5.16000000,151.00000000,239.00000000,0.24405517,0.11242661,169.02568054,0.35702270,1.83634043,0.02378300,3.34075761,5.22293186,60.35917282,44.80160141
6357002,4.52000000,5.20000000,210.00000000,422.00000000,0.33636436,0.18113215,158.35992432,0.04543199,0.98109245,0.03487314,2.54341960,4.83072329,76.86821747,38.53279877
6357003,4.52000000,5.24000000,199.00000000,284.00000000,0.31210247,0.18382999,205.27569580,0.09681410,0.98356020,0.02462077,2.17808914,4.61897230,71.94364929,36.60480118
6357004,4.52000000,5.28000000,127.00000000,41.00000000,0.21028642,0.19711079,199.91987610,0.24669568,0.99140370,0.02378300,1.91622496,3.66146898,37.18286896,15.66079998
6357005,4.52000000,5.32000000,113.00000000,11.00000000,0.18838090,0.28522715,212.12046814,0.22964938,0.69188601,0.02378300,1.24006736,2.88089824,30.15387154,10.27999973
6357006,4.52000000,5.36000000,113.00000000,6.00000000,0.18506649,0.40764740,220.11814880,0.25419596,0.72570306,0.02378300,0.76798725,2.38850689,31.98924255,11.46720028
6357007,4.52000000,5.40000000,110.00000000,4.00000000,0.18330754,0.39580575,227.07609558,0.28180701,0.76530099,0.02378300,0.80238950,2.41242623,33.17195511,12.56320000
