Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,Topological Choice,Topological Choice [SLW],Topological Mean Depth,Topological Mean Depth [SLW],Topological Total Depth,Topological Total Length,Topological Total Nodes
85,531426.238998,184197.509594,531437.346019,184199.821447,3.2086754,24,4,11.345068,1061,3845255.2,2.3220339,2.2179525,411,12216.636,178
86,531379.770132,183732.449503,531382.423865,183753.991164,4,25,5,21.704504,1335,2841133.5,2.1694915,2.2361016,384,12216.636,178
87,531382.423865,183753.991164,531401.51399,183908.955152,4,25,6,156.13542,1865,5974525.5,2.1694915,2.2610259,384,12216.636,178
88,531401.51399,183908.955152,531402.048405,183913.293264,3.1397986,25,5,4.3709054,2874,9864235,2.1694915,2.2329278,384,12216.636,178
89,531402.048405,183913.293264,531417.15255,184035.901078,1.8853738,25,4,123.53465,3006,10836863,2.1694915,2.2549307,384,12216.636,178
90,531417.15255,184035.901078,531427.917161,184123.282742,2.9748278,25,5,88.042221,2850,10200182,2.1694915,2.248332,384,12216.636,178
91,531427.917161,184123.282742,531433.414157,184167.904584,4,25,6,44.959156,2406,8566382,2.1694915,2.2403738,384,12216.636,178
92,531433.414157,184167.904584,531437.346019,184199.821447,3.2086754,25,4,32.158134,1082,3971900,2.1694915,2.2380199,384,12216.636,178
93,531375.100124,183572.394391,531387.345888,183728.427727,1.5234891,26,3,156.51314,502,3585063,2.5310733,2.6596711,448,12216.636,178
94,531387.345888,183728.427727,531389.575254,183756.833909,2.5515666,26,4,28.49353,508,2567726.5,2.5310733,2.6317348,448,12216.636,178
95,531389.575254,183756.833909,531401.51399,183908.955152,2.7092693,26,5,152.589,656,3956827.2,2.5310733,2.6588058,448,12216.636,178
96,531401.51399,183908.955152,531401.85296,183913.274241,4,26,5,4.3323708,589,2028403.8,2.5310733,2.626528,448,12216.636,178
97,531297.758244,183720.335774,531303.086878,183722.453957,3.2741685,27,4,5.734199,459,597175.12,2.8926554,3.0368264,512,12216.636,178
98,531303.086878,183722.453957,531357.702997,183744.164384,2.7258315,27,5,58.77298,713,1329890.8,2.8926554,3.0500746,512,12216.636,178
99,531357.702997,183744.164384,531382.423865,183753.991164,4,27,6,26.602385,852,1622853.2,2.8926554,3.0420251,512,12216.636,178
100,531382.423865,183753.991164,531389.575254,183756.833909,4,27,5,7.6956849,438,647721.12,2.8926554,3.0373144,512,12216.636,178
101,531299.446867,183775.091082,531311.820019,183768.52249,3.3356996,28,4,14.008615,625,976779.38,2.8644068,3.0216436,507,12216.636,178
102,531311.820019,183768.52249,531357.702997,183744.164384,2.6643004,28,5,51.947716,789,1479076.1,2.8644068,3.0310676,507,12216.636,178
103,531357.702997,183744.164384,531379.770132,183732.449503,3.2326641,28,5,24.983932,718,1146419,2.8644068,3.0243638,507,12216.636,178
104,531379.770132,183732.449503,531387.345888,183728.427727,2.7673359,28,4,8.5771065,363,1030945.1,2.8644068,3.0202992,507,12216.636,178
105,531304.31269,183959.573805,531306.49671,183903.993471,4,29,5,55.623226,959,2764908.8,2.9378531,3.1214063,520,12216.636,178
106,531306.49671,183903.993471,531311.29242,183781.949157,2.6909027,29,5,122.1385,719,2416473.5,2.9378531,3.1385729,520,12216.636,178
107,531311.29242,183781.949157,531311.820019,183768.52249,3.3090973,29,4,13.437029,472,764094.31,2.9378531,3.1106157,520,12216.636,178
108,531075.434914,183881.504842,531156.88079,183889.431752,2.9276934,30,4,81.830719,508,2080560.4,2.1920905,2.2561393,388,12216.636,178
109,531156.88079,183889.431752,531168.490957,183890.561739,2.7533221,30,5,11.665026,864,4293459.5,2.1920905,2.2431691,388,12216.636,178
110,531168.490957,183890.561739,531174.661661,183891.162317,3.2466779,30,5,6.1998625,1572,5976937.5,2.1920905,2.2421649,388,12216.636,178
111,531174.661661,183891.162317,531180.045933,183891.686354,4,30,6,5.4097123,2460,8803152,2.1920905,2.2420199,388,12216.636,178
112,531180.045933,183891.686354,531246.846002,183898.187827,3.0539846,30,5,67.115707,2560,9303340,2.1920905,2.2534068,388,12216.636,178
113,531246.846002,183898.187827,531306.49671,183903.993471,2.9460154,30,5,59.932568,2661,9385998,2.1920905,2.2520754,388,12216.636,178
114,531306.49671,183903.993471,531401.85296,183913.274241,3.1116269,30,5,95.806824,2436,8711630,2.1920905,2.2587409,388,12216.636,178
115,531401.85296,183913.274241,531402.048405,183913.293264,2.8883731,30,4,0.19636907,1548,5329294.5,2.1920905,2.2410631,388,12216.636,178
116,531056.009523,183972.375108,531073.801917,183889.143858,2.9463861,31,4,85.111755,345,1521948.2,2.8079095,2.8126473,497,12216.636,178
117,531073.801917,183889.143858,531075.434914,183881.504842,2.9276934,31,4,7.8116097,376,851577.19,2.8079095,2.7948391,497,12216.636,178
