Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
131121,0.78,7.74,50,19.565773,11.7216,1.9836783,2.8468966,0.34152409,0.795084,3.9109919,1866,2.8036063
196646,0.84,7.08,34,8.7625027,3.6143999,1.9225235,3.0721133,0.3685419,0.80218619,3.697587,1866,2.735472
196647,0.84,7.14,46,19.160961,14.508,1.9505644,3.2683024,0.39207745,0.80805504,3.5356569,1866,2.6348677
196648,0.84,7.2,36,10.687263,5.9580002,1.9605999,2.8296964,0.3394607,0.79452407,3.9286864,1866,2.8227684
196650,0.84,7.32,36,7.1586061,1.7460001,2.0565774,2.1442566,0.25723284,0.76971447,4.8648791,1866,3.151763
196651,0.84,7.38,35,5.9324508,1.2348,2.0930662,2.4007149,0.2879985,0.77962983,4.4520106,1866,2.943351
196652,0.84,7.44,38,6.8484983,1.5264,2.120425,2.4412892,0.29286593,0.78112257,4.3946381,1866,2.8957212
196653,0.84,7.5,35,6.9112196,1.6848,2.0848324,2.4217803,0.29052559,0.78040725,4.4219837,1866,2.9285378
196655,0.84,7.62,38,13.443433,8.0388002,1.9907186,2.7134483,0.32551515,0.79066986,4.0541553,1866,2.8543458
196656,0.84,7.68,46,17.849586,11.8728,2.0115194,2.7287786,0.32735422,0.79118532,4.0369973,1866,2.8356056
196657,0.84,7.74,41,13.137547,6.8867998,2.0072095,2.7263718,0.3270655,0.7911045,4.0396781,1866,2.8387659
262149,0.9,5.1,80,32.737648,16.2684,2.0674491,3.0751696,0.36890852,0.80227977,3.6949062,1866,2.631062
262150,0.9,5.16,91,45.301304,34.538399,1.9283296,3.6808293,0.44156566,0.8195684,3.2514746,1866,2.5153396
262151,0.9,5.22,90,43.330898,33.155998,1.9274769,3.6799529,0.44146055,0.81954503,3.2520108,1866,2.51613
262152,0.9,5.28,80,29.518152,14.7636,1.9773973,3.3716846,0.40447956,0.81104004,3.4579089,1866,2.5847301
262153,0.9,5.34,75,26.046785,11.628,1.9258558,3.341795,0.4008939,0.8101843,3.4798927,1866,2.6376543
262154,0.9,5.4,74,26.833858,12.2508,1.9217358,3.3088851,0.39694589,0.80923527,3.5045576,1866,2.6538661
262155,0.9,5.46,72,27.138168,12.186,2.0334659,3.049083,0.3657791,0.80147862,3.7179625,1866,2.6659732
262172,0.9,6.48,25,9.6348734,5.9544001,1.7231473,3.7514083,0.45003259,0.82143855,3.2091153,1866,2.6540041
262173,0.9,6.54,19,3.6395299,0.98280001,1.9339259,3.1142056,0.37359142,0.803469,3.6611259,1866,2.7036405
262174,0.9,6.6,16,2.3292317,0.42120001,1.8949065,2.9872057,0.35835606,0.79955697,3.7742627,1866,2.7910867
262175,0.9,6.66,13,1.9536176,0.34200001,1.8100543,2.6147525,0.31367522,0.78729659,4.1694369,1866,3.0418098
262176,0.9,6.72,7,0.89613986,0.14399999,1.7525567,2.6712413,0.32045183,0.78923905,4.1024127,1866,3.060648
262177,0.9,6.78,10,1.6953499,0.36359999,1.8583155,2.9490178,0.35377491,0.79835582,3.8101876,1866,2.8368795
262182,0.9,7.08,31,6.312499,1.6668,1.9009444,3.0520935,0.36614025,0.80157131,3.7152815,1866,2.7617817
262183,0.9,7.14,44,17.473463,12.6108,1.9500453,3.2683024,0.39207745,0.80805504,3.5356569,1866,2.6349418
262184,0.9,7.2,32,7.6784205,3.0852001,1.9431611,2.8168037,0.33791402,0.79410267,3.9420912,1866,2.839632
262186,0.9,7.32,34,6.5811424,1.5804,2.0552464,2.1433647,0.25712582,0.76967841,4.866488,1866,3.1521943
262187,0.9,7.38,32,5.0227079,0.954,2.0485704,2.1395075,0.25666311,0.76952243,4.8734584,1866,3.1566186
262188,0.9,7.44,31,4.6385207,0.8064,2.1655362,1.8999143,0.22792062,0.759372,5.3619304,1866,3.2324204
262189,0.9,7.5,34,6.5811424,1.5804,2.0844107,2.421401,0.29048008,0.7803933,4.4225202,1866,2.9286592
262191,0.9,7.62,38,12.620711,7.0128002,1.9913921,2.7139249,0.32557231,0.79068589,4.0536194,1866,2.8536825
262192,0.9,7.68,41,15.399157,9.9252005,1.9952011,2.7163098,0.32585838,0.79076624,4.0509381,1866,2.8505914
262193,0.9,7.74,36,9.4838724,3.8664,1.9696912,2.7020633,0.32414934,0.79028559,4.0670242,1866,2.8786192
327685,0.96,5.1,82,31.096523,14.742,2.0707674,3.0782318,0.3692759,0.80237347,3.6922252,1866,2.6278806
327686,0.96,5.16,93,42.515751,30.870001,1.930001,3.6825833,0.4417761,0.81961524,3.2504022,1866,2.5137925
327687,0.96,5.22,92,40.636513,29.822399,1.929171,3.6817062,0.44167086,0.81959182,3.2509384,1866,2.5145605
327688,0.96,5.28,79,25.271599,11.448,1.9766701,3.3709493,0.40439135,0.81101906,3.4584451,1866,2.5853474
327689,0.96,5.34,78,24.21743,9.8928003,1.9288944,3.3454118,0.40132776,0.81028813,3.4772117,1866,2.6345704
327690,0.96,5.4,77,25.108082,10.5912,1.9247446,3.3124309,0.39737126,0.80933785,3.5018766,1866,2.6508393
327691,0.96,5.46,72,24.311678,9.9504004,2.0334659,3.049083,0.3657791,0.80147862,3.7179625,1866,2.6659732
327708,0.96,6.48,17,2.9484327,0.67320001,1.6695457,3.701102,0.44399768,0.82010835,3.2391422,1866,2.7162023
327709,0.96,6.54,24,5.5551147,2.2535999,1.7248044,3.7477696,0.44959608,0.82134277,3.2112601,1866,2.6536682
327710,0.96,6.6,18,2.1629272,0.3096,1.9060687,3.0098934,0.36107776,0.80026507,3.7533512,1866,2.7711425
327711,0.96,6.66,17,2.0359352,0.28080001,1.8310474,2.7105932,0.3251726,0.7905736,4.0573726,1866,2.9753106
327712,0.96,6.72,14,1.8714899,0.3132,1.8288734,2.7091677,0.32500163,0.7905255,4.0589814,1866,2.9767833
327713,0.96,6.78,15,2.4727697,0.51480001,1.8661788,2.9507067,0.35397753,0.79840916,3.8085792,1866,2.8305333
327718,0.96,7.08,31,6.451355,1.6884,1.903128,3.0532994,0.36628491,0.80160844,3.7142091,1866,2.7594836
327719,0.96,7.14,42,16.198528,11.0664,1.9305091,3.2538531,0.39034405,0.80763215,3.546917,1866,2.6560116
327720,0.96,7.2,29,5.605689,1.3536,1.9061776,2.7933855,0.3351047,0.79333347,3.9667561,1866,2.8794625
327722,0.96,7.32,32,6.2217784,1.4868,2.0485704,2.1395075,0.25666311,0.76952243,4.8734584,1866,3.1566186
