Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
393231,1.02000000,5.70000000,100.00000000,40.95536804,21.25799942,1.89554060,4.18289614,0.50179547,0.83232534,2.98123336,1866.00000000,2.38811994
393232,1.02000000,5.76000000,106.00000000,43.21392059,22.84560013,1.82575202,4.27546406,0.51290023,0.83454907,2.93833780,1866.00000000,2.42248011
393233,1.02000000,5.82000000,112.00000000,46.60991287,26.50320053,1.81107199,4.41720533,0.52990407,0.83788455,2.87613940,1866.00000000,2.39823437
393234,1.02000000,5.88000000,116.00000000,48.33191681,27.47879982,1.82218802,4.21483564,0.50562704,0.83309674,2.96621990,1866.00000000,2.44353485
393235,1.02000000,5.94000000,223.00000000,300.79418945,724.28039551,1.65200365,6.00225306,0.72005212,0.87059802,2.38069701,1866.00000000,2.21866894
393236,1.02000000,6.00000000,224.00000000,301.49008179,724.49279785,1.68702579,6.00225306,0.72005212,0.87059802,2.38069701,1866.00000000,2.18973637
393237,1.02000000,6.06000000,108.00000000,41.80269241,21.42720032,1.76027346,4.30643702,0.51661587,0.83528495,2.92439675,1866.00000000,2.47207952
393238,1.02000000,6.12000000,102.00000000,39.03260803,19.90800095,1.87893713,3.85431480,0.46237761,0.82411796,3.15013409,1866.00000000,2.50088859
393239,1.02000000,6.18000000,97.00000000,38.41374969,20.68919945,1.86599147,3.83518672,0.46008295,0.82362401,3.16085792,1866.00000000,2.51708102
393240,1.02000000,6.24000000,97.00000000,41.44226074,23.90760040,1.86599147,3.83518672,0.46008295,0.82362401,3.16085792,1866.00000000,2.51708102
393241,1.02000000,6.30000000,95.00000000,44.43724823,27.76320076,1.86355245,3.83233380,0.45974070,0.82355022,3.16246653,1866.00000000,2.51962066
393242,1.02000000,6.36000000,95.00000000,48.82481766,32.66640091,1.86355245,3.83233380,0.45974070,0.82355022,3.16246653,1866.00000000,2.51962066
393244,1.02000000,6.48000000,15.00000000,2.27684236,0.41400000,1.83670175,2.80504584,0.33650351,0.79371709,3.95442367,1866.00000000,2.92329407
393245,1.02000000,6.54000000,27.00000000,7.84675217,3.99959993,1.72952807,3.75596642,0.45057940,0.82155842,3.20643425,1866.00000000,2.64721465
393246,1.02000000,6.60000000,16.00000000,1.92115414,0.26280001,1.81716907,2.61740923,0.31399396,0.78738868,4.16621971,1866.00000000,3.03555346
393247,1.02000000,6.66000000,12.00000000,1.60312045,0.24120000,1.78614521,2.60505676,0.31251210,0.78696001,4.18123341,1866.00000000,3.06735539
393248,1.02000000,6.72000000,11.00000000,1.41725349,0.22679999,1.80986691,2.69876051,0.32375315,0.79017389,4.07077742,1866.00000000,2.99761033
393249,1.02000000,6.78000000,21.00000000,8.31491089,6.15600014,1.70984066,3.78262401,0.45377734,0.82225716,3.19088483,1866.00000000,2.65530992
393254,1.02000000,7.08000000,30.00000000,6.53448200,1.76400006,1.88666594,3.04788041,0.36563483,0.80144155,3.71903491,1866.00000000,2.77485394
393255,1.02000000,7.14000000,44.00000000,17.13909149,10.95839977,1.94774413,3.32239938,0.39856714,0.80962586,3.49436998,1866.00000000,2.61400843
393256,1.02000000,7.20000000,29.00000000,6.07937622,1.57319999,1.90703964,2.79389048,0.33516526,0.79335010,3.96621990,1866.00000000,2.87859416
393258,1.02000000,7.32000000,31.00000000,6.61989212,1.72800004,2.16553617,1.89991426,0.22792062,0.75937200,5.36193037,1866.00000000,3.23242044
393259,1.02000000,7.38000000,31.00000000,6.00907755,1.49759996,2.16553617,1.89991426,0.22792062,0.75937200,5.36193037,1866.00000000,3.23242044
393260,1.02000000,7.44000000,31.00000000,6.00907755,1.49759996,2.16553617,1.89991426,0.22792062,0.75937200,5.36193037,1866.00000000,3.23242044
393261,1.02000000,7.50000000,32.00000000,7.08850718,1.94760001,2.04329205,2.13773203,0.25645012,0.76945049,4.87667561,1866.00000000,3.15937638
