Ref,x,y,Connectivity,Metric Mean Shortest-Path Angle,Metric Mean Shortest-Path Distance,Metric Mean Straight-Line Distance,Metric Node Count,Point First Moment,Point Second Moment
458795,1.08,7.38,31,4.4672232,3.1892834,2.3196666,1866,7.3505425,2.1888001
458796,1.08,7.44,31,4.3633647,3.2046666,2.3521819,1866,7.3505425,2.1888001
458797,1.08,7.5,31,4.2748828,3.2297218,2.3862474,1866,7.8891554,2.4191999
458799,1.08,7.62,28,3.9041731,2.9681203,2.4587157,1866,6.5660195,1.9044
458800,1.08,7.68,48,3.4290307,2.9446588,2.4970083,1866,16.834778,8.3196001
458801,1.08,7.74,32,2.9819381,2.9691195,2.5366209,1866,8.0624018,2.4588001
524293,1.14,5.1,111,1.5278593,2.4972875,2.2216666,1866,59.240154,50.796001
524294,1.14,5.16,121,1.4119574,2.4675698,2.1927354,1866,62.969753,52.127998
524295,1.14,5.22,129,1.3605071,2.4434605,2.1654224,1866,68.018341,57.121201
524296,1.14,5.28,121,1.3914964,2.4180367,2.1397824,1866,54.600521,39.985199
524297,1.14,5.34,120,1.4457812,2.3982022,2.1158445,1866,51.820988,35.632801
524298,1.14,5.4,113,1.5058849,2.3866918,2.0936189,1866,41.553783,21.409201
524299,1.14,5.46,102,1.4693015,2.3637996,2.0730903,1866,33.444267,14.1264
524301,1.14,5.58,122,1.4265213,2.3175759,2.0369143,1866,55.418407,32.515202
524302,1.14,5.64,113,1.5199126,2.2996836,2.0212324,1866,47.582237,26.5896
524303,1.14,5.7,106,1.4401234,2.2811666,2.0071952,1866,40.831955,21.312
524304,1.14,5.76,104,1.4000721,2.2639513,1.9948126,1866,37.419746,18.399599
524305,1.14,5.82,104,1.4005637,2.2449927,1.9840944,1866,35.252842,16.282801
524306,1.14,5.88,107,1.2964879,2.2261281,1.9750533,1866,35.494026,15.9192
524307,1.14,5.94,225,1.1836908,2.2172155,1.9677027,1866,282.79678,659.42279
524308,1.14,6,223,1.2397202,2.2125664,1.9620478,1866,281.4632,658.58398
524309,1.14,6.06,105,1.3561053,2.2126358,1.9580904,1866,34.412746,15.5088
524310,1.14,6.12,100,1.347597,2.2184672,1.9558281,1866,33.350616,15.7572
524311,1.14,6.18,98,1.3432546,2.2237585,1.9552491,1866,34.220943,16.923599
