Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
458761,1.08,5.34,1.1054837,1866,2062.8325,85,23.026556,8.2404003
458762,1.08,5.4,1.2609148,1866,2352.8669,76,19.081429,5.8031998
458763,1.08,5.46,1.4140058,1866,2638.5347,75,21.572535,7.5275998
458765,1.08,5.58,1.1682333,1866,2179.9233,96,44.043289,26.2584
458766,1.08,5.64,1.0807838,1866,2016.7426,107,46.63488,26.424
458767,1.08,5.7,1.0761127,1866,2008.0265,106,42.272018,22.107599
458768,1.08,5.76,1.0481713,1866,1955.8876,107,39.946964,19.5804
458769,1.08,5.82,1.0125268,1866,1889.375,103,35.414009,15.8688
458770,1.08,5.88,0.95536453,1866,1782.7102,109,38.042358,17.362801
458771,1.08,5.94,0.8870098,1866,1655.1603,223,289.69946,689.1264
458772,1.08,6,0.88164324,1866,1645.1462,224,291.07288,690.66357
458773,1.08,6.06,0.9502852,1866,1773.2322,112,42.291653,22.4604
458774,1.08,6.12,1.0046246,1866,1874.6295,107,40.930889,22.370399
458775,1.08,6.18,1.0535479,1866,1965.9204,105,41.785637,23.6628
458776,1.08,6.24,1.1174673,1866,2085.1938,99,40.970612,24.209999
458777,1.08,6.3,1.233561,1866,2301.825,97,43.954063,28.0296
458778,1.08,6.36,1.4154826,1866,2641.2905,95,47.19939,31.716
458781,1.08,6.54,1.3238587,1866,2470.3203,30,8.376338,3.7260001
458785,1.08,6.78,1.3279197,1866,2477.8982,23,9.6297836,6.0804
458790,1.08,7.08,2.3827782,1866,4446.2642,28,6.8744621,2.0699999
458791,1.08,7.14,1.9636221,1866,3664.1189,47,18.369444,10.836
458792,1.08,7.2,1.8665633,1866,3483.0071,27,6.4463587,1.8936
458794,1.08,7.32,3.6335661,1866,6780.2344,31,7.8891554,2.4191999
458795,1.08,7.38,3.5237155,1866,6575.2529,31,7.3505425,2.1888001
458796,1.08,7.44,3.4206238,1866,6382.8838,31,7.3505425,2.1888001
458797,1.08,7.5,3.3293378,1866,6212.5444,31,7.8891554,2.4191999
458799,1.08,7.62,2.5425808,1866,4744.4561,28,6.5660195,1.9044
458800,1.08,7.68,2.0956459,1866,3910.4753,48,16.834778,8.3196001
458801,1.08,7.74,1.8112622,1866,3379.8154,32,8.0624018,2.4588001
524293,1.14,5.1,1.0110574,1866,1886.6331,111,59.240154,50.796001
524294,1.14,5.16,0.92467016,1866,1725.4346,121,62.969753,52.127998
524295,1.14,5.22,0.93558663,1866,1745.8047,129,68.018341,57.121201
524296,1.14,5.28,0.96874422,1866,1807.6768,121,54.600521,39.985199
524297,1.14,5.34,1.0142596,1866,1892.6083,120,51.820988,35.632801
524298,1.14,5.4,1.0901383,1866,2034.198,113,41.553783,21.409201
524299,1.14,5.46,1.1470314,1866,2140.3606,102,33.444267,14.1264
524301,1.14,5.58,1.1271669,1866,2103.2935,122,55.418407,32.515202
524302,1.14,5.64,1.1506407,1866,2147.0957,113,47.582237,26.5896
524303,1.14,5.7,1.1509918,1866,2147.7507,106,40.831955,21.312
524304,1.14,5.76,1.1282207,1866,2105.2598,104,37.419746,18.399599
524305,1.14,5.82,1.0713356,1866,1999.1121,104,35.252842,16.282801
524306,1.14,5.88,1.0017182,1866,1869.2062,107,35.494026,15.9192
524307,1.14,5.94,0.90933931,1866,1696.8271,225,282.79678,659.42279
524308,1.14,6,0.90779668,1866,1693.9486,223,281.4632,658.58398
524309,1.14,6.06,0.99987537,1866,1865.7675,105,34.412746,15.5088
524310,1.14,6.12,1.0739688,1866,2004.0258,100,33.350616,15.7572
524311,1.14,6.18,1.1239552,1866,2097.3005,98,34.220943,16.923599
524312,1.14,6.24,1.1561303,1866,2157.3391,97,36.671745,19.746
524313,1.14,6.3,1.1700569,1866,2183.3262,100,42.558544,25.344
524314,1.14,6.36,1.1790103,1866,2200.0332,102,47.503361,29.912399
524317,1.14,6.54,1.2377625,1866,2309.6648,23,5.4951282,1.9332
524318,1.14,6.6,1.579336,1866,2947.041,37,20.823202,14.652
524321,1.14,6.78,1.3434135,1866,2506.8096,22,8.022172,4.0500002
524327,1.14,7.14,1.8394196,1866,3432.3569,54,20.284323,10.8432
524336,1.14,7.68,1.7975922,1866,3354.3069,56,18.961998,8.7083998
589829,1.2,5.1,1.0493152,1866,1958.0221,114,61.304657,52.4412
589830,1.2,5.16,0.97254521,1866,1814.7694,123,62.462608,50.479198
589831,1.2,5.22,0.9531343,1866,1778.5486,137,72.263565,59.630402
589832,1.2,5.28,1.0106601,1866,1885.8916,129,61.137226,46.220402
589833,1.2,5.34,1.08443,1866,2023.5464,132,61.342495,43.9128
589834,1.2,5.4,1.119857,1866,2089.6531,140,63.492718,41.799599
589835,1.2,5.46,1.1424651,1866,2131.8398,153,69.211151,42.627602
589836,1.2,5.52,1.1874895,1866,2215.8555,146,65.141716,38.141998
589837,1.2,5.58,1.2423463,1866,2318.2183,121,53.14904,30.632401
589838,1.2,5.64,1.2517474,1866,2335.7605,111,45.477665,24.9984
589839,1.2,5.7,1.2346631,1866,2303.8813,109,41.70174,21.5424
589840,1.2,5.76,1.20863,1866,2255.3035,108,38.9856,19.0404
589841,1.2,5.82,1.1652731,1866,2174.3997,105,35.684307,16.452
589842,1.2,5.88,1.058907,1866,1975.9205,108,35.718262,15.93
589843,1.2,5.94,0.93028665,1866,1735.9149,230,278.32855,631.59479
589844,1.2,6,0.92809182,1866,1731.8193,230,278.6875,632.14203
589845,1.2,6.06,1.0596359,1866,1977.2805,110,38.030186,18.3564
589846,1.2,6.12,1.1356993,1866,2119.2148,107,38.561085,19.889999
589847,1.2,6.18,1.211375,1866,2260.4258,106,40.750961,22.662001
589848,1.2,6.24,1.2360702,1866,2306.5068,106,43.925285,26.294399
589849,1.2,6.3,1.2535237,1866,2339.0752,106,47.761196,30.697201
589850,1.2,6.36,1.2666657,1866,2363.5981,105,51.250343,34.945202
589851,1.2,6.42,1.2830102,1866,2394.0972,104,55.635754,40.507198
589852,1.2,6.48,1.299119,1866,2424.156,92,57.394238,45.953999
589853,1.2,6.54,1.2571273,1866,2345.7996,93,59.157009,49.604401
589854,1.2,6.6,0.99248338,1866,1851.974,103,65.310448,56.919601
589855,1.2,6.66,0.94447088,1866,1762.3827,195,282.12589,611.13599
589856,1.2,6.72,0.95691139,1866,1785.5967,135,176.81017,357.59161
589857,1.2,6.78,1.1529486,1866,2151.4021,63,46.027039,50.018398
589862,1.2,7.08,1.9640224,1866,3664.8657,56,21.019369,9.7740002
589863,1.2,7.14,1.6342047,1866,3049.426,91,34.671635,16.999201
589864,1.2,7.2,1.5687498,1866,2927.2871,59,18.499571,7.4664001
589865,1.2,7.26,1.5339894,1866,2862.4243,53,13.908566,4.5071998
589866,1.2,7.32,1.5064719,1866,2811.0764,55,14.38763,4.7124
589867,1.2,7.38,1.5000514,1866,2799.0959,56,14.859816,5.0507998
589868,1.2,7.44,1.4970636,1866,2793.5208,55,14.696407,5.1012001
589869,1.2,7.5,1.4874376,1866,2775.5586,57,16.709593,6.7284002
589870,1.2,7.56,1.4809654,1866,2763.4814,58,18.372242,8.1216002
589871,1.2,7.62,1.4621091,1866,2728.2957,70,26.228809,13.572
589872,1.2,7.68,1.4406267,1866,2688.2095,97,39.704243,21.243601
589873,1.2,7.74,1.4680122,1866,2739.3108,65,29.483154,17.607599
655365,1.26,5.1,1.1294636,1866,2107.5791,99,45.318523,31.5648
655366,1.26,5.16,1.0265453,1866,1915.5334,107,44.779747,28.5732
655367,1.26,5.22,0.99827111,1866,1862.7739,120,52.115326,34.5816
655368,1.26,5.28,1.0927404,1866,2039.0537,101,34.011791,17.1756
