Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length
128,531060.553704,184121.39462,531140.793407,184138.095983,4,24,6,81.959412
129,531140.793407,184138.095983,531200.805668,184150.587138,4,24,6,61.298454
130,531200.805668,184150.587138,531426.238998,184197.509594,4,24,6,230.26486
131,531426.238998,184197.509594,531437.346019,184199.821447,4,24,6,11.345068
132,531437.346019,184199.821447,531441.626255,184200.71235,2,24,3,4.3719711
133,531379.087467,183726.907975,531379.770132,183732.449503,2,25,3,5.5834184
134,531379.770132,183732.449503,531382.423865,183753.991164,4,25,6,21.704504
135,531382.423865,183753.991164,531401.51399,183908.955152,4,25,6,156.13542
136,531401.51399,183908.955152,531402.048405,183913.293264,4,25,6,4.3709054
137,531402.048405,183913.293264,531417.15255,184035.901078,4,25,6,123.53465
138,531417.15255,184035.901078,531427.917161,184123.282742,4,25,6,88.042221
139,531427.917161,184123.282742,531433.414157,184167.904584,4,25,6,44.959156
140,531433.414157,184167.904584,531437.346019,184199.821447,4,25,6,32.158134
141,531437.346019,184199.821447,531438.204555,184206.79061,2,25,3,7.0218453
142,531370.314722,183511.419658,531375.100124,183572.394391,2,26,3,61.162228
143,531375.100124,183572.394391,531387.345888,183728.427727,4,26,6,156.51314
144,531387.345888,183728.427727,531389.575254,183756.833909,3.9999998,26,6,28.49353
145,531389.575254,183756.833909,531401.51399,183908.955152,4,26,6,152.589
146,531401.51399,183908.955152,531401.85296,183913.274241,4,26,6,4.3323708
147,531401.85296,183913.274241,531409.569458,184011.596484,2,26,3,98.62458
148,531287.1303,183716.111065,531297.758244,183720.335774,2,27,3,11.436842
149,531297.758244,183720.335774,531303.086878,183722.453957,4,27,6,5.734199
150,531303.086878,183722.453957,531357.702997,183744.164384,4,27,6,58.77298
151,531357.702997,183744.164384,531382.423865,183753.991164,4,27,6,26.602385
152,531382.423865,183753.991164,531389.575254,183756.833909,4,27,6,7.6956849
153,531389.575254,183756.833909,531396.253684,183759.488649,2,27,3,7.186729
154,531294.394199,183777.773415,531299.446867,183775.091082,2,28,3,5.7205219
155,531299.446867,183775.091082,531311.820019,183768.52249,4,28,6,14.008615
156,531311.820019,183768.52249,531357.702997,183744.164384,4,28,6,51.947716
157,531357.702997,183744.164384,531379.770132,183732.449503,4,28,6,24.983932
158,531379.770132,183732.449503,531387.345888,183728.427727,4,28,6,8.5771065
159,531387.345888,183728.427727,531391.413833,183726.268158,2,28,3,4.6056395
160,531303.999695,183967.539095,531304.31269,183959.573805,2,29,3,7.9714365
161,531304.31269,183959.573805,531306.49671,183903.993471,4,29,6,55.623226
162,531306.49671,183903.993471,531311.29242,183781.949157,4,29,6,122.1385
163,531311.29242,183781.949157,531311.820019,183768.52249,4,29,6,13.437029
164,531311.820019,183768.52249,531311.931444,183765.686875,2,29,3,2.8378036
165,531069.774,183880.95388,531075.434914,183881.504842,2,30,3,5.6876626
166,531075.434914,183881.504842,531156.88079,183889.431752,4,30,6,81.830719
167,531156.88079,183889.431752,531168.490957,183890.561739,4,30,6,11.665026
168,531168.490957,183890.561739,531174.661661,183891.162317,4,30,6,6.1998625
169,531174.661661,183891.162317,531180.045933,183891.686354,4,30,6,5.4097123
170,531180.045933,183891.686354,531246.846002,183898.187827,4,30,6,67.115707
171,531246.846002,183898.187827,531306.49671,183903.993471,4,30,6,59.932568
172,531306.49671,183903.993471,531401.85296,183913.274241,4,30,6,95.806824
173,531401.85296,183913.274241,531402.048405,183913.293264,4,30,6,0.19636907
174,531402.048405,183913.293264,531403.294966,183913.414588,2,30,3,1.2524511
175,531055.773886,183973.477395,531056.009523,183972.375108,2,31,3,1.1271914
176,531056.009523,183972.375108,531073.801917,183889.143858,4,31,6,85.111755
177,531073.801917,183889.143858,531075.434914,183881.504842,4,31,6,7.8116097
