Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability
589870,1.2,7.56,58,18.372242,8.1216002,0.84573501,0.91867584,0.16714698
589871,1.2,7.62,70,26.228809,13.572,0.65383023,1.2021209,0.1897019
589872,1.2,7.68,97,39.704243,21.243601,0.477878,1.8277171,0.250646
589873,1.2,7.74,65,29.483154,17.607599,0.72067308,1.0693527,0.17615177
655365,1.26,5.1,99,45.318523,31.5648,0.64790767,1.0385923,0.28947368
655366,1.26,5.16,107,44.779747,28.5732,0.58631635,1.1477289,0.2823219
655367,1.26,5.22,120,52.115326,34.5816,0.51120448,1.3640535,0.24048096
655368,1.26,5.28,101,34.011791,17.1756,0.6130693,1.1744475,0.26933333
655369,1.26,5.34,92,26.100863,9.7812004,0.68251312,1.1062539,0.26512969
655370,1.26,5.4,84,22.154079,7.0092001,0.76419967,1.0220822,0.375
655371,1.26,5.46,77,22.193871,7.5348001,0.83766234,0.99151236,0.36842105
655373,1.26,5.58,100,45.400215,26.607599,0.79414141,0.94936293,0.20833333
655374,1.26,5.64,106,44.579544,24.2964,0.74645102,1.0042087,0.22083333
655375,1.26,5.7,104,40.012066,19.9692,0.78155339,0.97289908,0.28184283
655376,1.26,5.76,104,37.269123,17.3412,0.80545181,0.96208692,0.28184283
655377,1.26,5.82,103,35.248875,15.7536,0.82143539,0.94882119,0.27837837
655378,1.26,5.88,101,32.400887,13.5576,0.83762378,0.92323422,0.29106629
655379,1.26,5.94,226,268.78516,601.01282,0.51787609,1.6938487,0.24248926
655380,1.26,6,225,268.51459,601.1676,0.52146828,1.6838144,0.24141631
655381,1.26,6.06,100,33.13113,15.2064,0.84969699,0.91020894,0.29154518
655382,1.26,6.12,99,34.673462,17.0352,0.86868685,0.90167075,0.28947368
655383,1.26,6.18,97,35.487186,18.219601,0.8906787,0.88124192,0.28362572
655384,1.26,6.24,96,38.429726,21.571199,0.89166665,0.87026495,0.28070176
655385,1.26,6.3,96,42.966614,26.614799,0.89473683,0.87206453,0.28152493
655386,1.26,6.36,95,47.200668,31.464001,0.90683091,0.84492785,0.28023598
655390,1.26,6.6,53,26.022516,18.8244,0.46008709,0.91895634,0.11804009
655391,1.26,6.66,162,243.24532,548.5788,0.50325894,1.3974166,0.16413374
655392,1.26,6.72,103,95.898705,140.7204,0.43460879,1.0134331,0.10957447
655393,1.26,6.78,45,18.283974,10.9188,0.37777779,0.57758743,0.078809105
655395,1.26,6.9,36,14.515101,7.9271998,0.62857145,0.64741343,0.099722989
655396,1.26,6.96,44,16.566185,8.316,0.40697673,1.2025658,0.10679612
655398,1.26,7.08,64,21.482931,9.2376003,0.71081346,1.0998341,0.18079096
655399,1.26,7.14,97,37.43161,18.118799,0.44995704,1.8207002,0.22196797
655400,1.26,7.2,68,20.041071,7.6283998,0.65803337,1.1717484,0.1827957
655401,1.26,7.26,57,15.192017,5.3676,0.87907267,0.88206351,0.16011237
655402,1.26,7.32,57,14.755762,5.1479998,0.87969923,0.88117224,0.16056338
655403,1.26,7.38,55,14.167813,5.1408,0.93131316,0.83357859,0.15536723
655404,1.26,7.44,56,14.944987,5.8067999,0.91168833,0.84977633,0.15819208
655405,1.26,7.5,57,16.187033,6.8759999,0.88345867,0.88342297,0.16101696
655406,1.26,7.56,60,18.300798,8.4312,0.8158192,0.96465731,0.16949153
655407,1.26,7.62,74,25.843081,12.7944,0.59829694,1.31823,0.19733334
655408,1.26,7.68,97,39.629852,20.969999,0.47766322,1.8172432,0.250646
655409,1.26,7.74,66,27.514166,15.9408,0.7002331,1.1251729,0.18032786
720901,1.32,5.1,87,33.765991,18.1908,0.73803794,0.92330897,0.25588235
720902,1.32,5.16,91,29.83559,13.1652,0.68888891,1.0646272,0.24266666
720903,1.32,5.22,106,38.546345,20.599199,0.58310872,1.2922176,0.21501014
720904,1.32,5.28,87,23.620955,8.1216002,0.73108792,1.0641376,0.34661356
720905,1.32,5.34,79,20.416594,6.4368,0.81596881,1.0077626,0.37440759
720906,1.32,5.4,77,21.133102,6.9875998,0.83732057,1.0019289,0.36842105
720907,1.32,5.46,73,22.179609,7.9956002,0.92047185,0.90440488,0.35960591
720909,1.32,5.58,89,40.862991,23.3316,0.93896836,0.82895595,0.27987421
720910,1.32,5.64,94,39.411312,20.656799,0.85495311,0.88794315,0.2764706
720911,1.32,5.7,99,39.298153,19.4832,0.79385692,0.94007355,0.29032257
720912,1.32,5.76,98,36.762032,17.334,0.8116979,0.9250651,0.28739002
720913,1.32,5.82,98,34.903992,15.5592,0.82495266,0.916668,0.28823531
720914,1.32,5.88,99,34.057945,14.7564,0.82725209,0.91858751,0.29117647
720915,1.32,5.94,224,262.35757,573.84363,0.5169763,1.7009312,0.24190065
720916,1.32,6,224,262.78009,574.47717,0.51817745,1.6945426,0.24190065
720917,1.32,6.06,98,34.830383,16.4412,0.85041028,0.89682746,0.28739002
720918,1.32,6.12,96,35.736412,17.906401,0.87280703,0.87967348,0.28235295
720919,1.32,6.18,96,38.887508,21.743999,0.87456143,0.86165547,0.28318584
720920,1.32,6.24,96,41.457706,24.4944,0.86885965,0.89569974,0.26966292
720921,1.32,6.3,95,44.932056,28.670401,0.88734603,0.85211188,0.28023598
720922,1.32,6.36,95,49.328381,33.66,0.88734603,0.85211188,0.28023598
720926,1.32,6.6,56,29.65251,22.546801,0.49805194,0.92094171,0.12527964
720927,1.32,6.66,181,249.15399,533.29321,0.44597912,1.7677267,0.18227594
