Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
458776,1.0800000,6.2400000,1.1174673,1866.0000000,2085.1938477,99.0000000,40.9706116,24.2099991
458777,1.0800000,6.3000000,1.2335610,1866.0000000,2301.8249512,97.0000000,43.9540634,28.0296001
458778,1.0800000,6.3600000,1.4154826,1866.0000000,2641.2905273,95.0000000,47.1993904,31.7159996
458781,1.0800000,6.5400000,1.3238587,1866.0000000,2470.3203125,30.0000000,8.3763380,3.7260001
458785,1.0800000,6.7800000,1.3279197,1866.0000000,2477.8981934,23.0000000,9.6297836,6.0804000
458790,1.0800000,7.0800000,2.3827782,1866.0000000,4446.2641602,28.0000000,6.8744621,2.0699999
458791,1.0800000,7.1400000,1.9636221,1866.0000000,3664.1188965,47.0000000,18.3694439,10.8360004
458792,1.0800000,7.2000000,1.8665633,1866.0000000,3483.0070801,27.0000000,6.4463587,1.8936000
458794,1.0800000,7.3200000,3.6335661,1866.0000000,6780.2343750,31.0000000,7.8891554,2.4191999
458795,1.0800000,7.3800000,3.5237155,1866.0000000,6575.2529297,31.0000000,7.3505425,2.1888001
458796,1.0800000,7.4400000,3.4206238,1866.0000000,6382.8837891,31.0000000,7.3505425,2.1888001
458797,1.0800000,7.5000000,3.3293378,1866.0000000,6212.5444336,31.0000000,7.8891554,2.4191999
458799,1.0800000,7.6200000,2.5425808,1866.0000000,4744.4560547,28.0000000,6.5660195,1.9044000
458800,1.0800000,7.6800000,2.0956459,1866.0000000,3910.4753418,48.0000000,16.8347778,8.3196001
458801,1.0800000,7.7400000,1.8112622,1866.0000000,3379.8154297,32.0000000,8.0624018,2.4588001
524293,1.1400000,5.1000000,1.0110574,1866.0000000,1886.6330566,111.0000000,59.2401543,50.7960014
524294,1.1400000,5.1600000,0.9246702,1866.0000000,1725.4345703,121.0000000,62.9697533,52.1279984
524295,1.1400000,5.2200000,0.9355866,1866.0000000,1745.8046875,129.0000000,68.0183411,57.1212006
524296,1.1400000,5.2800000,0.9687442,1866.0000000,1807.6767578,121.0000000,54.6005211,39.9851990
524297,1.1400000,5.3400000,1.0142596,1866.0000000,1892.6082764,120.0000000,51.8209877,35.6328011
524298,1.1400000,5.4000000,1.0901383,1866.0000000,2034.1979980,113.0000000,41.5537834,21.4092007
524299,1.1400000,5.4600000,1.1470314,1866.0000000,2140.3605957,102.0000000,33.4442673,14.1264000
