Ref,x,y,Connectivity,Metric Mean Penn Distance,Metric Mean Shortest-Path Angle,Metric Mean Shortest-Path Distance,Metric Mean Straight-Line Distance,Metric Node Count,Point First Moment,Point Second Moment
393261,1.02000000,7.50000000,32.00000000,0.75494009,4.21350145,3.17955375,2.42461371,1866.00000000,7.08850718,1.94760001
393263,1.02000000,7.62000000,31.00000000,0.51730204,3.70927382,3.01335597,2.49605393,1866.00000000,7.05613804,2.11680007
393264,1.02000000,7.68000000,43.00000000,0.46622199,3.42810631,3.00004292,2.53382087,1866.00000000,15.32364368,8.39519978
393265,1.02000000,7.74000000,30.00000000,0.44133350,3.15761781,3.01423788,2.57290435,1866.00000000,6.58433914,1.79639995
458757,1.08000000,5.10000000,96.00000000,0.27495494,1.57805836,2.53798342,2.26302838,1866.00000000,40.60129547,25.17840004
458758,1.08000000,5.16000000,106.00000000,0.27508315,1.42240632,2.50957632,2.23449326,1866.00000000,46.38515472,31.04640007
458759,1.08000000,5.22000000,106.00000000,0.27417386,1.38449371,2.48171639,2.20754266,1866.00000000,44.24412155,30.00600052
458760,1.08000000,5.28000000,91.00000000,0.27467102,1.42620671,2.45690489,2.18223381,1866.00000000,27.01309013,11.20320034
458761,1.08000000,5.34000000,85.00000000,0.27867162,1.50294960,2.43726945,2.15859795,1866.00000000,23.02655602,8.24040031
458762,1.08000000,5.40000000,76.00000000,0.28629413,1.58483636,2.42294264,2.13664842,1866.00000000,19.08142853,5.80319977
458763,1.08000000,5.46000000,75.00000000,0.30095685,1.83894229,2.41733336,2.11637664,1866.00000000,21.57253456,7.52759981
458765,1.08000000,5.58000000,96.00000000,0.26766264,1.46285033,2.34830737,2.08064461,1866.00000000,44.04328918,26.25839996
458766,1.08000000,5.64000000,107.00000000,0.25983849,1.35344851,2.32498503,2.06514645,1866.00000000,46.63488007,26.42399979
458767,1.08000000,5.70000000,106.00000000,0.25534701,1.35514867,2.30661631,2.05126929,1866.00000000,42.27201843,22.10759926
458768,1.08000000,5.76000000,107.00000000,0.25267678,1.32950974,2.29169917,2.03902245,1866.00000000,39.94696426,19.58040047
458769,1.08000000,5.82000000,103.00000000,0.25190392,1.29244888,2.28031874,2.02841473,1866.00000000,35.41400909,15.86880016
458770,1.08000000,5.88000000,109.00000000,0.24585484,1.25406194,2.26531005,2.01945519,1866.00000000,38.04235840,17.36280060
458771,1.08000000,5.94000000,223.00000000,0.24595009,1.17174470,2.25810242,2.01215243,1866.00000000,289.69946289,689.12640381
458772,1.08000000,6.00000000,224.00000000,0.24867149,1.16168320,2.25518298,2.00651145,1866.00000000,291.07287598,690.66357422
458773,1.08000000,6.06000000,112.00000000,0.24990489,1.23636663,2.25243855,2.00253367,1866.00000000,42.29165268,22.46039963
458774,1.08000000,6.12000000,107.00000000,0.25180686,1.22333252,2.25202370,2.00021696,1866.00000000,40.93088913,22.37039948
458775,1.08000000,6.18000000,105.00000000,0.25355849,1.27223957,2.25311208,1.99955356,1866.00000000,41.78563690,23.66279984
458776,1.08000000,6.24000000,99.00000000,0.25829959,1.36468768,2.25883579,2.00053620,1866.00000000,40.97061157,24.20999908
458777,1.08000000,6.30000000,97.00000000,0.26488486,1.50025249,2.26803994,2.00315523,1866.00000000,43.95406342,28.02960014
458778,1.08000000,6.36000000,95.00000000,0.27972013,1.73932898,2.28711724,2.00739717,1866.00000000,47.19939041,31.71599960
458781,1.08000000,6.54000000,30.00000000,0.30325025,1.99134493,2.33273387,2.02948356,1866.00000000,8.37633801,3.72600007
458785,1.08000000,6.78000000,23.00000000,0.31649992,1.89111102,2.39785886,2.08135891,1866.00000000,9.62978363,6.08039999
458790,1.08000000,7.08000000,28.00000000,0.38946173,3.53093505,2.57047343,2.18101168,1866.00000000,6.87446213,2.06999993
458791,1.08000000,7.14000000,47.00000000,0.34032574,3.07246208,2.54581428,2.20548844,1866.00000000,18.36944389,10.83600044
458792,1.08000000,7.20000000,27.00000000,0.33533800,2.78727531,2.56696773,2.23162985,1866.00000000,6.44635868,1.89359999
458794,1.08000000,7.32000000,31.00000000,0.89636791,4.58157635,3.18510795,2.28874016,1866.00000000,7.88915539,2.41919994
458795,1.08000000,7.38000000,31.00000000,0.86961663,4.46722317,3.18928337,2.31966662,1866.00000000,7.35054255,2.18880010
458796,1.08000000,7.44000000,31.00000000,0.85248464,4.36336470,3.20466661,2.35218191,1866.00000000,7.35054255,2.18880010
458797,1.08000000,7.50000000,31.00000000,0.84347421,4.27488279,3.22972178,2.38624740,1866.00000000,7.88915539,2.41919994
458799,1.08000000,7.62000000,28.00000000,0.50940478,3.90417314,2.96812034,2.45871568,1866.00000000,6.56601954,1.90439999
458800,1.08000000,7.68000000,48.00000000,0.44765055,3.42903066,2.94465876,2.49700832,1866.00000000,16.83477783,8.31960011
458801,1.08000000,7.74000000,32.00000000,0.43249866,2.98193812,2.96911955,2.53662086,1866.00000000,8.06240177,2.45880008
524293,1.14000000,5.10000000,111.00000000,0.27562091,1.52785933,2.49728751,2.22166657,1866.00000000,59.24015427,50.79600143
524294,1.14000000,5.16000000,121.00000000,0.27483445,1.41195738,2.46756983,2.19273543,1866.00000000,62.96975327,52.12799835
524295,1.14000000,5.22000000,129.00000000,0.27803797,1.36050713,2.44346046,2.16542244,1866.00000000,68.01834106,57.12120056
524296,1.14000000,5.28000000,121.00000000,0.27825436,1.39149642,2.41803670,2.13978243,1866.00000000,54.60052109,39.98519897
524297,1.14000000,5.34000000,120.00000000,0.28235778,1.44578123,2.39820218,2.11584449,1866.00000000,51.82098770,35.63280106
524298,1.14000000,5.40000000,113.00000000,0.29307303,1.50588489,2.38669181,2.09361887,1866.00000000,41.55378342,21.40920067
524299,1.14000000,5.46000000,102.00000000,0.29070920,1.46930146,2.36379957,2.07309031,1866.00000000,33.44426727,14.12639999
524301,1.14000000,5.58000000,122.00000000,0.28066164,1.42652130,2.31757593,2.03691435,1866.00000000,55.41840744,32.51520157
524302,1.14000000,5.64000000,113.00000000,0.27845114,1.51991260,2.29968357,2.02123237,1866.00000000,47.58223724,26.58959961
524303,1.14000000,5.70000000,106.00000000,0.27397117,1.44012344,2.28116655,2.00719523,1866.00000000,40.83195496,21.31200027
524304,1.14000000,5.76000000,104.00000000,0.26913875,1.40007210,2.26395130,1.99481261,1866.00000000,37.41974640,18.39959908
524305,1.14000000,5.82000000,104.00000000,0.26089826,1.40056372,2.24499273,1.98409438,1866.00000000,35.25284195,16.28280067
524306,1.14000000,5.88000000,107.00000000,0.25107482,1.29648793,2.22612810,1.97505331,1866.00000000,35.49402618,15.91919994
524307,1.14000000,5.94000000,225.00000000,0.24951276,1.18369079,2.21721554,1.96770275,1866.00000000,282.79678345,659.42279053
524308,1.14000000,6.00000000,223.00000000,0.25051865,1.23972023,2.21256638,1.96204782,1866.00000000,281.46319580,658.58398438
524309,1.14000000,6.06000000,105.00000000,0.25454539,1.35610533,2.21263576,1.95809042,1866.00000000,34.41274643,15.50879955
524310,1.14000000,6.12000000,100.00000000,0.26263905,1.34759700,2.21846724,1.95582807,1866.00000000,33.35061646,15.75720024
524311,1.14000000,6.18000000,98.00000000,0.26850930,1.34325457,2.22375846,1.95524907,1866.00000000,34.22094345,16.92359924
524312,1.14000000,6.24000000,97.00000000,0.27506641,1.38636017,2.23141074,1.95634437,1866.00000000,36.67174530,19.74600029
524313,1.14000000,6.30000000,100.00000000,0.28090864,1.41700268,2.24001074,1.95910203,1866.00000000,42.55854416,25.34399986
524314,1.14000000,6.36000000,102.00000000,0.28376573,1.43592727,2.24727368,1.96350789,1866.00000000,47.50336075,29.91239929
524317,1.14000000,6.54000000,23.00000000,0.29083219,1.74852324,2.27702379,1.98619151,1866.00000000,5.49512815,1.93320000
524318,1.14000000,6.60000000,37.00000000,0.33153147,2.04015970,2.32846880,1.99693739,1866.00000000,20.82320213,14.65200043
524321,1.14000000,6.78000000,22.00000000,0.30116472,1.93295813,2.34019542,2.03903079,1866.00000000,8.02217197,4.05000019
