Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Metric Choice,Metric Choice [SLW],Metric Mean Depth,Metric Mean Depth [SLW],Metric Total Depth,Metric Total Length,Metric Total Nodes,Segment Length
61,531224.447434,184077.761662,531226.686905,184070.863256,3.6152513,18,4,1533,5574123,391.26105,428.15689,69253.203,12216.636,178,7.2528086
62,531222.022192,184069.648122,531226.686905,184070.863256,3.0376058,19,4,1155,3366315.8,390.44025,428.02402,69107.93,12216.636,178,4.8203835
63,531226.686905,184070.863256,531282.101437,184085.298468,2.0014875,19,4,2339,8910218,404.12689,446.75046,71530.461,12216.636,178,57.263824
64,531282.101437,184085.298468,531360.813158,184105.802482,2.0467546,19,4,1464,5592114.5,444.48447,493.74277,78673.75,12216.636,178,81.338486
65,531360.813158,184105.802482,531427.917161,184123.282742,2.9141521,19,5,896,3225557.5,490.67438,535.5683,86849.367,12216.636,178,69.343399
66,531427.917161,184123.282742,531443.26017,184127.27952,2.9891434,19,4,286,463302.28,511.48697,554.39984,90533.195,12216.636,178,15.855036
67,531168.490957,183890.561739,531168.634422,183891.041697,4,20,5,617,2904046.2,376.64868,430.50296,66666.82,12216.636,178,0.50094116
68,531168.634422,183891.041697,531177.606206,183921.056404,3.7623262,20,5,1562,6512653.5,380.08255,433.80759,67274.609,12216.636,178,31.326914
69,531177.606206,183921.056404,531183.34523,183940.256055,1.3914185,20,4,2974,11618123,378.18848,430.29852,66939.359,12216.636,178,20.039038
70,531183.34523,183940.256055,531206.527247,184017.810468,1.9921591,20,4,2952,12048564,380.98438,429.97375,67434.234,12216.636,178,80.945
71,531206.527247,184017.810468,531222.022192,184069.648122,1.5069535,20,4,2449,10675579,390.70386,431.83386,69154.586,12216.636,178,54.103935
72,531222.022192,184069.648122,531224.447434,184077.761662,3.3471429,20,4,1452,7107564.5,391.07556,427.84494,69220.375,12216.636,178,8.468255
73,531103.958023,183944.145791,531183.34523,183940.256055,2,21,2,177,964690.62,418.38446,471.61572,74054.047,12216.636,178,79.482445
74,531275.708412,184523.127156,531297.510832,184441.573404,2,22,2,177,1024174.8,791.72955,767.85199,140136.12,12216.636,178,84.41777
