Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration,T1024 Integration [Segment Length Wgt],T1024 Node Count,T1024 Total Depth,T1024 Total Depth [Segment Length Wgt],T1024 Total Segment Length
145,531101.00503,183580.310867,531156.88079,183889.431752,3.9999998,42,5,314.13025,75.341393,5244.0146,178,420.53906,28460.293,12216.636
146,531156.88079,183889.431752,531157.130183,183890.811468,4,42,5,1.4020742,73.82859,5159.4937,178,429.15625,28926.521,12216.636
147,531029.291446,183888.25309,531030.230687,183855.631128,2,43,2,32.635479,67.405479,4677.939,178,470.05078,31904.262,12216.636
148,531191.965639,183748.193874,531247.250971,183744.871861,2.372308,44,4,55.385048,77.915718,5145.1392,178,406.64453,29007.223,12216.636
149,531247.250971,183744.871861,531255.303728,183744.387983,3.6276922,44,4,8.0672827,74.798775,5021.2231,178,423.58984,29723.076,12216.636
150,531247.250971,183744.871861,531250.811287,183746.933134,2.6622484,45,4,4.1139636,72.8479,4776.5571,178,434.93359,31245.559,12216.636
151,531250.811287,183746.933134,531299.446867,183775.091082,1.9825487,45,4,56.198662,72.054512,4745.6021,178,439.72266,31449.371,12216.636
152,531299.446867,183775.091082,531311.29242,183781.949157,3.3552032,45,4,13.687597,69.173141,4584.3516,178,458.03906,32555.576,12216.636
153,531250.811287,183746.933134,531255.303728,183744.387983,3.7100596,46,4,5.1633153,69.908241,4694.3491,178,453.22266,31792.736,12216.636
154,531255.303728,183744.387983,531297.758244,183720.335774,0.85895824,46,4,48.794411,74.486237,4990.52,178,425.36719,29905.941,12216.636
155,531297.758244,183720.335774,531302.825685,183717.464863,3.4309821,46,4,5.8241816,69.014816,4629.6465,178,459.08984,32237.061,12216.636
156,531294.100666,183550.806851,531302.825685,183717.464863,2.7051506,47,4,166.88625,70.657295,4891.9014,178,448.41797,30508.834,12216.636
157,531302.825685,183717.464863,531303.086878,183722.453957,3.2948494,47,4,4.9959264,69.792152,4865.7471,178,453.97656,30672.824,12216.636
158,530707.321114,183575.611283,530723.063265,183688.758214,0.98894149,48,2,114.23679,80.295242,6018.9507,178,394.59375,24796.049,12216.636
159,530723.063265,183688.758214,530730.767941,183744.135682,1.182127,48,3,55.910877,80.140541,6005.0312,178,395.35547,24853.525,12216.636
160,530723.063265,183688.758214,530804.10279,183678.914813,3.0480838,49,4,81.635147,81.069695,6023.3394,178,390.82422,24777.984,12216.636
161,530804.10279,183678.914813,530912.244928,183665.779416,2.0113289,49,4,108.93696,81.778351,6069.8652,178,387.4375,24588.059,12216.636
162,530912.244928,183665.779416,530942.320478,183662.126313,2.940587,49,4,30.296598,82.620514,6154.3496,178,383.48828,24250.523,12216.636
163,531140.793407,184138.095983,531154.133119,184099.625494,3.1072955,50,3,40.717644,62.152149,4446.2324,178,509.78125,33566.891,12216.636
164,531091.400795,184089.16428,531154.133119,184099.625494,1.1072954,51,1,63.598595,44.939854,3176.8967,178,705.03125,46978.613,12216.636
165,531060.553704,184121.39462,531060.782857,184116.994225,3.0436037,52,4,4.4063578,66.459404,4746.5186,178,476.74219,31443.299,12216.636
166,531060.782857,184116.994225,531065.497338,184026.462826,2.9563963,52,4,90.654068,67.1894,4814.7637,178,471.5625,30997.617,12216.636
167,530922.424921,184035.240495,531065.497338,184026.462826,3.0721309,53,4,143.34143,75.842278,5481.8882,178,417.76172,27225.328,12216.636
168,531065.497338,184026.462826,531206.527247,184017.810468,2.9278691,53,4,141.29507,76.411003,5523.6138,178,414.65234,27019.666,12216.636
169,531282.101437,184085.298468,531294.562642,184021.679734,4,54,4,64.827652,60.478722,4116.709,178,523.88672,36253.766,12216.636
170,531268.479945,184016.651855,531294.562642,184021.679734,1.9948233,55,3,26.562881,46.611523,3140.5879,178,679.74609,47521.742,12216.636
171,531294.562642,184021.679734,531317.354673,184026.073282,1.9981046,55,3,23.211634,46.611523,3140.5879,178,679.74609,47521.742,12216.636
172,531268.479945,184016.651855,531279.573531,183955.446867,1.9839985,56,2,62.202236,42.862148,2839.1758,178,739.20703,52566.734,12216.636
173,531279.573531,183955.446867,531304.31269,183959.573805,2.0713086,57,3,25.08102,52.447456,3490.3325,178,604.10938,42759.883,12216.636
174,531304.31269,183959.573805,531329.366877,183963.753297,1.9357636,57,3,25.400402,55.001724,3657.7,178,576.05469,40803.289,12216.636
175,531317.354673,184026.073282,531329.366877,183963.753297,2.0160015,58,2,63.467106,43.754169,2897.7686,178,724.13672,51503.84,12216.636
176,530810.256885,183814.547701,530916.388132,183816.148133,4,59,4,106.14331,63.394745,4639.7456,178,499.78906,32166.893,12216.636
177,531139.683702,184338.865635,531374.160466,184412.387824,4,60,4,245.73332,73.744011,5285.8833,178,429.64844,28234.865,12216.636
