Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Step Depth
1114118,1.68,5.16,67,21.817133,11.4264,2
1114119,1.68,5.22,77,26.496384,13.3164,3
1114120,1.68,5.28,47,9.7217789,2.5739999,3
1114121,1.68,5.34,44,10.132861,2.9663999,3
1114122,1.68,5.4,43,11.500793,3.816,3
1114130,1.68,5.88,42,10.857234,3.8843999,3
1114131,1.68,5.94,149,196.19885,415.16281,2
1114132,1.68,6,148,195.70409,414.918,2
1114133,1.68,6.06,41,10.626207,3.9275999,3
1114141,1.68,6.54,53,16.581987,7.0991998,3
1114142,1.68,6.6,122,96.115059,131.8716,2
1114143,1.68,6.66,163,189.97803,377.6976,2
1114144,1.68,6.72,130,125.61449,229.7556,2
1114145,1.68,6.78,88,45.975727,39.664799,2
1114146,1.68,6.84,49,13.552962,4.7484002,3
1114147,1.68,6.9,11,2.1713109,0.58319998,4
1114148,1.68,6.96,24,5.4486289,1.6596,4
1114150,1.68,7.08,35,7.9294925,2.3399999,4
1114151,1.68,7.14,44,14.353462,7.7435999,4
1114152,1.68,7.2,36,9.6179361,3.9528,4
1114154,1.68,7.32,33,6.0974069,1.3464,5
1114155,1.68,7.38,31,4.6385207,0.8064,6
1114156,1.68,7.44,31,4.6385207,0.8064,6
1114157,1.68,7.5,32,5.7475495,1.224,5
1114159,1.68,7.62,37,11.95799,6.5735998,4
1114160,1.68,7.68,42,15.823421,10.1052,4
1114161,1.68,7.74,34,8.6170893,3.3299999,4
1179651,1.74,4.98,43,11.020251,3.5136001,3
1179652,1.74,5.04,44,9.6694479,2.7467999,3
1179653,1.74,5.1,45,8.5702963,2.052,3
1179654,1.74,5.16,67,22.31793,13.3884,2
1179655,1.74,5.22,75,25.257235,12.7404,3
1179656,1.74,5.28,49,10.452456,3.0204,3
1179657,1.74,5.34,45,9.8693514,2.7467999,3
1179658,1.74,5.4,44,11.519784,3.78,3
1179666,1.74,5.88,41,10.73134,3.9744,3
1179667,1.74,5.94,149,190.80115,394.10999,2
1179668,1.74,6,148,190.42166,393.966,2
1179669,1.74,6.06,41,10.73134,3.9744,3
1179677,1.74,6.54,48,12.509683,4.0427999,3
1179678,1.74,6.6,124,92.721054,123.9804,2
1179679,1.74,6.66,165,184.31572,357.37561,2
1179680,1.74,6.72,129,122.50497,223.79761,2
1179681,1.74,6.78,74,26.598925,13.6656,3
1179682,1.74,6.84,47,12.182004,3.9384,3
1179683,1.74,6.9,12,2.2561636,0.59039998,4
1179684,1.74,6.96,23,5.3043046,1.5984,4
1179686,1.74,7.08,40,10.802931,4.3379998,4
1179687,1.74,7.14,46,15.560962,8.8920002,4
1179688,1.74,7.2,42,12.916609,6.8256001,4
1179690,1.74,7.32,35,6.9112196,1.6848,5
1179691,1.74,7.38,33,5.309341,1.0404,5
1179692,1.74,7.44,35,5.959198,1.2528,5
1179693,1.74,7.5,34,6.4744129,1.494,5
1179695,1.74,7.62,39,14.291961,8.7587996,4
1179696,1.74,7.68,43,17.044601,11.6208,4
1179697,1.74,7.74,38,11.541303,5.652,4
1245187,1.8,4.98,41,10.308206,3.1392,3
1245188,1.8,5.04,42,8.9923124,2.3724,3
1245189,1.8,5.1,47,10.256551,3.1356001,3
1245190,1.8,5.16,70,25.706291,16.9776,2
1245191,1.8,5.22,74,25.261263,12.978,3
1245192,1.8,5.28,55,14.262294,5.5296001,3
1245193,1.8,5.34,46,10.407033,2.9303999,3
1245194,1.8,5.4,42,10.733653,3.3336,3
1245202,1.8,5.88,41,11.906736,4.9643998,3
1245203,1.8,5.94,150,186.3627,374.46841,2
1245204,1.8,6,149,186.09438,374.39639,2
1245205,1.8,6.06,41,11.691246,4.7160001,3
1245213,1.8,6.54,48,13.616323,4.9320002,3
1245214,1.8,6.6,124,86.715759,107.7264,2
1245215,1.8,6.66,166,178.03386,337.23001,2
1245216,1.8,6.72,134,121.12704,213.7932,2
1245217,1.8,6.78,66,20.92219,9.3059998,3
1245218,1.8,6.84,44,12.057833,4.2156,3
1245219,1.8,6.9,14,2.2831867,0.49680001,4
1245220,1.8,6.96,24,5.7378407,1.8072,4
1245222,1.8,7.08,51,18.128601,9.6803999,4
1245223,1.8,7.14,56,20.811771,12.1716,4
1245224,1.8,7.2,54,17.145905,8.6471996,4
1245225,1.8,7.26,35,7.6817789,2.1384001,4
1245226,1.8,7.32,47,9.8242826,2.4696,5
1245227,1.8,7.38,46,9.0021734,2.1240001,5
1245228,1.8,7.44,45,8.6790638,2.0195999,5
1245229,1.8,7.5,47,9.8242826,2.4696,5
1245230,1.8,7.56,27,6.0324283,1.7568001,5
1245231,1.8,7.62,58,22.161917,13.3056,4
1245232,1.8,7.68,55,22.159258,14.382,4
1245233,1.8,7.74,51,20.060545,11.9664,4
1310723,1.86,4.98,41,11.216444,3.5927999,3
1310724,1.86,5.04,41,9.6188517,2.6784,3
1310725,1.86,5.1,52,15.569488,7.2684002,3
1310726,1.86,5.16,65,21.327066,10.782,3
1310727,1.86,5.22,75,26.854137,14.238,3
1310728,1.86,5.28,57,17.728224,8.3448,3
1310729,1.86,5.34,42,9.939024,2.8044,3
1310730,1.86,5.4,40,11.017536,3.5711999,3
1310738,1.86,5.88,38,12.447767,5.8284001,3
1310739,1.86,5.94,152,183.07649,356.4324,2
1310740,1.86,6,152,182.73074,356.04721,2
1310741,1.86,6.06,38,12.447767,5.8284001,3
1310750,1.86,6.6,129,86.858818,104.3388,2
1310751,1.86,6.66,168,172.79036,318.6684,2
1310752,1.86,6.72,138,121.41206,210.20039,2
1310753,1.86,6.78,43,13.798146,6.6023998,3
1310755,1.86,6.9,16,2.9757788,0.74879998,4
1310756,1.86,6.96,23,5.7881041,2.0016,4
1310758,1.86,7.08,43,16.381559,9.9216003,4
1310759,1.86,7.14,53,20.673109,12.9636,4
1310760,1.86,7.2,46,15.830339,9.0251999,4
1310762,1.86,7.32,43,9.7298031,2.6387999,5
1310763,1.86,7.38,41,8.5857735,2.2068,5
1310764,1.86,7.44,41,8.6969185,2.2788,5
