Ref,x1,y1,x2,y2,Angular Connectivity,Angular Mean Depth,Angular Node Count,Angular Total Depth,Axial Line Ref,Connectivity,Segment Length
102,531311.820019,183768.52249,531357.702997,183744.164384,2.6643004,2.3812876,178,421.48792,28,5,51.947716
103,531357.702997,183744.164384,531379.770132,183732.449503,3.2326641,2.356544,178,417.10828,28,5,24.983932
104,531379.770132,183732.449503,531387.345888,183728.427727,2.7673359,2.177774,178,385.46597,28,4,8.5771065
105,531304.31269,183959.573805,531306.49671,183903.993471,4,2.4172657,178,427.85605,29,5,55.623226
106,531306.49671,183903.993471,531311.29242,183781.949157,2.6909027,2.4391031,178,431.72125,29,5,122.1385
107,531311.29242,183781.949157,531311.820019,183768.52249,3.3090973,2.4736769,178,437.84079,29,4,13.437029
108,531075.434914,183881.504842,531156.88079,183889.431752,2.9276934,2.0093019,178,355.64645,30,4,81.830719
109,531156.88079,183889.431752,531168.490957,183890.561739,2.7533221,1.9959868,178,353.28964,30,5,11.665026
110,531168.490957,183890.561739,531174.661661,183891.162317,3.2466779,2.0750763,178,367.28854,30,5,6.1998625
111,531174.661661,183891.162317,531180.045933,183891.686354,4,1.7027261,178,301.38254,30,6,5.4097123
112,531180.045933,183891.686354,531246.846002,183898.187827,3.0539846,1.7036418,178,301.54459,30,5,67.115707
113,531246.846002,183898.187827,531306.49671,183903.993471,2.9460154,1.7030318,178,301.43665,30,5,59.932568
114,531306.49671,183903.993471,531401.85296,183913.274241,3.1116269,1.7014024,178,301.14822,30,5,95.806824
115,531401.85296,183913.274241,531402.048405,183913.293264,2.8883731,1.6825286,178,297.80756,30,4,0.19636907
116,531056.009523,183972.375108,531073.801917,183889.143858,2.9463861,2.5827801,178,457.1521,31,4,85.111755
117,531073.801917,183889.143858,531075.434914,183881.504842,2.9276934,2.5004075,178,442.57214,31,4,7.8116097
118,530986.848212,183887.403694,531004.835486,183965.872851,2.7760887,2.6786611,178,474.12302,32,3,80.504349
119,531004.835486,183965.872851,531056.009523,183972.375108,1.7224751,3.3452535,178,592.10986,33,2,51.585476
120,530712.688736,183881.917068,530813.405101,183883.932657,4,1.6640456,178,294.53607,34,5,100.73653
121,530813.405101,183883.932657,530918.31369,183886.032144,4,1.6643546,178,294.59076,34,6,104.9296
122,530918.31369,183886.032144,530986.848212,183887.403694,2.8438091,1.6704057,178,295.66183,34,5,68.548241
123,530986.848212,183887.403694,531029.291446,183888.25309,2.1506054,1.6739355,178,296.28659,34,4,42.451733
124,531029.291446,183888.25309,531073.801917,183889.143858,3.0055857,1.6739986,178,296.29776,34,5,44.519382
