Ref,x,y,Angular Step Depth,Connectivity,Point First Moment,Point Second Moment
458796,1.08000000,7.44000000,4.10080576,31.00000000,7.35054255,2.18880010
458797,1.08000000,7.50000000,3.99900174,31.00000000,7.88915539,2.41919994
458799,1.08000000,7.62000000,3.09981680,28.00000000,6.56601954,1.90439999
458800,1.08000000,7.68000000,2.67339301,48.00000000,16.83477783,8.31960011
458801,1.08000000,7.74000000,2.29421329,32.00000000,8.06240177,2.45880008
524293,1.14000000,5.10000000,1.33662713,111.00000000,59.24015427,50.79600143
524294,1.14000000,5.16000000,1.14326382,121.00000000,62.96975327,52.12799835
524295,1.14000000,5.22000000,1.18066883,129.00000000,68.01834106,57.12120056
524296,1.14000000,5.28000000,1.27100325,121.00000000,54.60052109,39.98519897
524297,1.14000000,5.34000000,1.38550162,120.00000000,51.82098770,35.63280106
524298,1.14000000,5.40000000,1.52471054,113.00000000,41.55378342,21.40920067
524299,1.14000000,5.46000000,1.61022222,102.00000000,33.44426727,14.12639999
524301,1.14000000,5.58000000,1.61178541,122.00000000,55.41840744,32.51520157
524302,1.14000000,5.64000000,1.56795001,113.00000000,47.58223724,26.58959961
524303,1.14000000,5.70000000,1.51273072,106.00000000,40.83195496,21.31200027
524304,1.14000000,5.76000000,1.44228411,104.00000000,37.41974640,18.39959908
524305,1.14000000,5.82000000,1.28632593,104.00000000,35.25284195,16.28280067
524306,1.14000000,5.88000000,1.11945522,107.00000000,35.49402618,15.91919994
524307,1.14000000,5.94000000,0.94228411,225.00000000,282.79678345,659.42279053
524308,1.14000000,6.00000000,0.92034042,223.00000000,281.46319580,658.58398438
524309,1.14000000,6.06000000,1.09817028,105.00000000,34.41274643,15.50879955
524310,1.14000000,6.12000000,1.26767159,100.00000000,33.35061646,15.75720024
524311,1.14000000,6.18000000,1.39333749,98.00000000,34.22094345,16.92359924
524312,1.14000000,6.24000000,1.48367190,97.00000000,36.67174530,19.74600029
524313,1.14000000,6.30000000,1.54929566,100.00000000,42.55854416,25.34399986
524314,1.14000000,6.36000000,1.59817028,102.00000000,47.50336075,29.91239929
524317,1.14000000,6.54000000,1.28132987,23.00000000,5.49512815,1.93320000
524318,1.14000000,6.60000000,1.70779037,37.00000000,20.82320213,14.65200043
524321,1.14000000,6.78000000,1.16781580,22.00000000,8.02217197,4.05000019
524327,1.14000000,7.14000000,2.45754194,54.00000000,20.28432274,10.84319973
